pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
308.86977700000034,14H 53M 32S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53612,Wed,Mar,03,2021,49,88,57,534,60,54,58,541,ECOV2-B00206,1001,60,50,29470,60,104,52,29460,104,54,51,28797,54,326,69,29591,326,13.83,03 Mar 2021
309.6141350000006,14H 53M 33S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53613,Wed,Mar,03,2021,46,85,56,534,60,50,54,541,ECOV2-B00206,1002,58,50,29478,58,111,54,29469,111,54,50,28801,54,332,70,29588,332,13.84,03 Mar 2021
310.39023000000043,14H 53M 34S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53614,Wed,Mar,03,2021,43,85,57,534,56,47,51,541,ECOV2-B00206,1003,58,50,29474,58,104,53,29456,104,53,51,28799,53,329,70,29595,NA,NA,03 Mar 2021
310.88581200000027,14H 53M 35S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53615,Wed,Mar,03,2021,45,85,57,534,60,46,52,541,ECOV2-B00206,1004,59,50,29467,59,106,54,29455,106,54,50,28800,54,328,70,29582,328,13.84,03 Mar 2021
311.3552390000004,14H 53M 36S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53616,Wed,Mar,03,2021,46,94,57,534,58,47,52,541,ECOV2-B00206,1005,58,49,29470,58,113,54,29467,113,56,51,28798,56,332,72,29588,332,13.83,03 Mar 2021
311.91059200000035,14H 53M 37S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53617,Wed,Mar,03,2021,50,87,57,534,61,50,55,541,ECOV2-B00206,1006,57,50,29473,57,103,54,29461,103,56,50,28786,56,331,72,29589,331,13.83,03 Mar 2021
312.5058350000004,14H 53M 38S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53618,Wed,Mar,03,2021,50,89,57,534,63,54,56,541,ECOV2-B00206,1007,59,50,29474,59,102,53,29460,102,57,50,28795,57,330,71,29586,330,13.83,03 Mar 2021
313.8432390000004,14H 53M 40S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53620,Wed,Mar,03,2021,44,93,57,534,56,44,50,541,ECOV2-B00206,1009,59,50,29467,59,112,54,29458,112,55,51,28787,55,329,70,29580,329,13.83,03 Mar 2021
314.32408900000024,14H 53M 41S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53621,Wed,Mar,03,2021,46,87,57,534,NA,NA,NA,NA,ECOV2-B00206,1010,58,50,29470,58,105,54,29454,105,54,51,28779,54,326,70,29587,326,13.84,03 Mar 2021
314.80394500000034,14H 53M 42S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53622,Wed,Mar,03,2021,47,86,57,534,58,47,50,541,ECOV2-B00206,1011,59,50,29468,59,103,54,29464,103,55,50,28782,55,333,71,29591,333,13.83,03 Mar 2021
315.4198010000004,14H 53M 43S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53623,Wed,Mar,03,2021,49,91,57,534,60,50,54,541,ECOV2-B00206,1012,60,50,29475,60,105,53,29454,105,52,50,28780,52,332,71,29580,332,13.82,03 Mar 2021
