pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
116.52700599999955,9H 6M 1S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32761,Fri,Apr,09,2021,48,98,56,534,49,51,56,ECOV2-B00206,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 Apr 2021
115.68379799999938,9H 6M 2S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32762,Fri,Apr,09,2021,43,95,57,534,50,50,55,ECOV2-B00206,220,65,51,29363,65,122,55,29391,122,56,50,28604,56,322,70,29507,322,13.83,09 Apr 2021
113.51505899999934,9H 6M 4S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32764,Fri,Apr,09,2021,44,97,58,534,51,50,52,ECOV2-B00206,222,60,50,29365,60,117,54,29391,117,54,50,28600,54,321,69,29504,321,13.83,09 Apr 2021
112.61024199999949,9H 6M 5S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32765,Fri,Apr,09,2021,46,93,56,534,52,47,50,ECOV2-B00206,223,60,50,29355,60,123,55,29384,123,53,50,28591,53,317,69,29498,317,13.82,09 Apr 2021
111.72315099999938,9H 6M 6S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32766,Fri,Apr,09,2021,700,460,534,NA,NA,NA,NA,ECOV2-B00206,224,61,50,29350,61,117,54,29390,117,55,50,28593,55,319,69,29505,319,13.82,09 Apr 2021
110.68694199999929,9H 6M 7S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32767,Fri,Apr,09,2021,48,96,56,534,50,50,50,ECOV2-B00206,225,60,51,29356,60,118,53,29385,118,54,50,28598,54,318,69,29511,318,13.83,09 Apr 2021
109.6712599999994,9H 6M 8S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32768,Fri,Apr,09,2021,49,99,57,534,50,46,50,ECOV2-B00206,226,57,50,29353,57,111,54,29391,111,52,50,28589,52,313,70,29505,313,13.82,09 Apr 2021
108.7328229999994,9H 6M 9S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32769,Fri,Apr,09,2021,50,98,57,534,50,50,51,ECOV2-B00206,227,57,50,29358,57,144,57,29389,144,51,50,28601,51,311,69,29494,311,13.82,09 Apr 2021
107.77967199999938,9H 6M 10S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32770,Fri,Apr,09,2021,48,97,56,534,52,50,53,ECOV2-B00206,228,53,50,29347,53,108,53,29377,108,50,50,28597,50,307,67,29509,307,13.81,09 Apr 2021
106.8226129999994,9H 6M 11S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32771,Fri,Apr,09,2021,50,95,56,534,51,52,55,ECOV2-B00206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 Apr 2021
105.77662299999928,9H 6M 12S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32772,Fri,Apr,09,2021,48,95,57,534,50,49,54,ECOV2-B00206,230,50,50,29345,50,106,53,29375,106,45,49,28587,45,297,67,29500,297,13.81,09 Apr 2021
103.65211599999948,9H 6M 14S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32774,Fri,Apr,09,2021,48,95,57,534,50,49,50,ECOV2-B00206,232,43,50,29356,43,101,53,29381,101,40,49,28585,40,286,67,29483,286,13.81,09 Apr 2021
102.90282099999955,9H 6M 15S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32775,Fri,Apr,09,2021,50,93,57,534,50,50,51,ECOV2-B00206,233,37,48,29352,37,95,52,29388,95,37,49,28601,37,276,67,29507,276,13.8,09 Apr 2021
102.02303399999933,9H 6M 16S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32776,Fri,Apr,09,2021,49,95,57,534,50,49,50,ECOV2-B0020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 Apr 2021
100.90669899999925,9H 6M 17S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32777,Fri,Apr,09,2021,50,97,56,534,49,50,53,ECOV2-B00206,235,31,47,29344,31,87,51,29396,87,32,49,28591,32,266,66,29490,266,13.78,09 Apr 2021
99.80957999999934,9H 6M 18S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32778,Fri,Apr,09,2021,49,95,57,534,51,49,54,ECOV2-B00206,236,32,47,29344,32,88,51,29380,88,30,48,28586,30,263,66,29496,263,13.78,09 Apr 2021
98.7525889999993,9H 6M 19S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32779,Fri,Apr,09,2021,50,93,56,534,51,50,52,ECOV2-B00206,237,-36,42,29353,-36,46,50,29386,46,-15,43,28591,-15,124,54,29495,124,13.76,09 Apr 2021
97.65221099999928,9H 6M 20S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32780,Fri,Apr,09,2021,49,98,57,534,470,532,541,ECOV2-B00206,238,-56,38,29360,-56,28,47,29388,28,-42,40,28590,-42,84,52,29497,84,13.75,09 Apr 2021
96.73858599999953,9H 6M 21S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32781,Fri,Apr,09,2021,48,98,57,534,NA,NA,NA,ECOV2-B00206,239,-27,42,29353,-27,49,50,29383,49,-17,43,28593,-17,148,57,29500,148,13.75,09 Apr 2021
95.19582499999925,9H 6M 23S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32783,Fri,Apr,09,2021,50,96,56,534,54,50,56,ECOV2-B00206,241,9,45,29360,9,69,50,29390,69,14,46,28588,14,204,63,29499,204,13.77,09 Apr 2021
93.86400399999906,9H 6M 24S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32784,Fri,Apr,09,2021,48,97,56,534,55,47,56,ECOV2-B00206,242,12,46,29349,12,72,50,29372,72,16,46,28589,16,228,63,29492,228,13.75,09 Apr 2021
92.62297499999934,9H 6M 25S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32785,Fri,Apr,09,2021,50,95,56,534,51,50,53,ECOV2-B00206,243,35,47,29340,35,91,52,29387,91,34,48,28585,34,256,66,29498,256,13.79,09 Apr 2021
91.74645999999953,9H 6M 26S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32786,Fri,Apr,09,2021,50,98,57,534,58,52,50,ECOV2-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 Apr 2021
90.84599199999933,9H 6M 27S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32787,Fri,Apr,09,2021,48,99,57,534,59,51,50,ECOV2-B00206,245,34,49,29346,34,101,53,29384,101,34,49,28586,34,262,66,29494,262,13.79,09 Apr 2021
