pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,date
80.246,11H 33M 5S,NA,NA,NA,NA,NA,41585,Fri,Jun,11,2021,54,99,56,524,50,59,52,11 Jun 2021
81.594,11H 33M 7S,NA,NA,NA,NA,NA,41587,Fri,Jun,11,2021,52,97,55,524,48,58,54,11 Jun 2021
82.22,11H 33M 8S,NA,NA,NA,NA,NA,41588,Fri,Jun,11,2021,53,97,55,524,49,58,53,11 Jun 2021
82.94,11H 33M 9S,NA,NA,NA,NA,NA,41589,Fri,Jun,11,2021,53,93,56,524,50,55,50,11 Jun 2021
83.634,11H 33M 10S,NA,NA,NA,NA,NA,41590,Fri,Jun,11,2021,50,93,55,523,50,56,53,11 Jun 2021
84.334,11H 33M 11S,NA,NA,NA,NA,NA,41591,Fri,Jun,11,2021,52,95,56,524,51,57,56,11 Jun 2021
86.276,11H 33M 14S,NA,NA,NA,NA,NA,41594,Fri,Jun,11,2021,49,93,56,524,49,56,53,11 Jun 2021
86.276,11H 33M 14S,NA,NA,NA,NA,NA,41594,Fri,Jun,11,2021,49,93,56,524,50,52,54,11 Jun 2021
86.276,11H 33M 14S,NA,NA,NA,NA,NA,41594,Fri,Jun,11,2021,49,93,56,524,48,52,50,11 Jun 2021
86.276,11H 33M 14S,NA,NA,NA,NA,NA,41594,Fri,Jun,11,2021,50,91,55,524,49,56,53,11 Jun 2021
86.276,11H 33M 14S,NA,NA,NA,NA,NA,41594,Fri,Jun,11,2021,50,91,55,524,50,52,54,11 Jun 2021
86.276,11H 33M 14S,NA,NA,NA,NA,NA,41594,Fri,Jun,11,2021,50,91,55,524,48,52,50,11 Jun 2021
86.276,11H 33M 14S,NA,NA,NA,NA,NA,41594,Fri,Jun,11,2021,53,96,56,524,49,56,53,11 Jun 2021
86.276,11H 33M 14S,NA,NA,NA,NA,NA,41594,Fri,Jun,11,2021,53,96,56,524,50,52,54,11 Jun 2021
86.276,11H 33M 14S,NA,NA,NA,NA,NA,41594,Fri,Jun,11,2021,53,96,56,524,48,52,50,11 Jun 2021
87.674,11H 33M 16S,NA,NA,NA,NA,NA,41596,Fri,Jun,11,2021,50,94,55,524,50,52,51,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,97,55,524,56,56,53,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,97,55,524,51,55,53,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,97,55,524,49,56,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,97,55,524,50,56,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,97,55,524,51,56,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,97,55,524,50,54,53,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,97,55,524,52,56,55,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,97,55,524,50,51,55,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,97,55,524,50,52,52,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,97,55,524,53,55,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,97,55,524,51,54,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,97,55,524,51,52,56,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,52,97,55,524,46,50,54,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,96,56,524,56,56,53,11 Jun 2021
95.824,11H 33M 30S,NA,NA,NA,NA,NA,41610,Fri,Jun,11,2021,50,96,56,524,51,55,53,11 Jun 2021
