pres,time,temp,conductivity,sbeox0v,fluo_chl,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,date
1.606,11H 30M 32.5S,22.9961,5.508723,3.2125,0.0232,0,41432.5,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.602,11H 30M 32.5420000000013S,22.9946,5.508617,3.2125,0.0326,0,41432.542,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.599,11H 30M 32.5829999999987S,22.9928,5.508542,3.2125,0.0433,0,41432.583,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.595,11H 30M 32.625S,22.9856,5.507996,3.2125,0.0533,0,41432.625,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.592,11H 30M 32.6670000000013S,22.9764,5.507004,3.2137,0.0595,0,41432.667,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.591,11H 30M 32.7079999999987S,22.9724,5.506769,3.2125,0.0616,0,41432.708,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.59,11H 30M 32.75S,22.9764,5.507019,3.2125,0.0647,0,41432.75,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.59,11H 30M 32.7920000000013S,22.9782,5.507019,3.2125,0.0678,0,41432.792,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.591,11H 30M 32.8329999999987S,22.9776,5.506837,3.2112,0.0742,0,41432.833,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.591,11H 30M 32.875S,22.9775,5.506716,3.2112,0.0829,0,41432.875,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.592,11H 30M 32.9170000000013S,22.9751,5.506761,3.2125,0.0918,0,41432.917,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.594,11H 30M 32.9579999999987S,22.9746,5.506883,3.2112,0.1009,0,41432.958,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.595,11H 30M 33S,22.9764,5.507087,3.2112,0.1091,0,41433,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.596,11H 30M 33.0420000000013S,22.9769,5.50714,3.2125,0.115,0,41433.042,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.597,11H 30M 33.0829999999987S,22.9753,5.506905,3.2125,0.121,0,41433.083,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.597,11H 30M 33.125S,22.9697,5.506549,3.2112,0.1234,0,41433.125,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.598,11H 30M 33.1670000000013S,22.968,5.506496,3.2125,0.1246,0,41433.167,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.6,11H 30M 33.2079999999987S,22.9686,5.506512,3.2125,0.1234,0,41433.208,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.601,11H 30M 33.25S,22.9673,5.506299,3.2112,0.1198,0,41433.25,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.603,11H 30M 33.2920000000013S,22.967,5.50608,3.2112,0.1162,0,41433.292,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.604,11H 30M 33.3329999999987S,22.9673,5.505799,3.2125,0.1091,0,41433.333,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.604,11H 30M 33.375S,22.9635,5.505216,3.2112,0.1032,0,41433.375,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.605,11H 30M 33.4170000000013S,22.9602,5.50508,3.2112,0.0941,0,41433.417,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.607,11H 30M 33.4579999999987S,22.961,5.505368,3.2112,0.0851,0,41433.458,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.609,11H 30M 33.5S,22.9622,5.50555,3.2112,0.0797,0,41433.5,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.611,11H 30M 33.5420000000013S,22.9613,5.505519,3.2112,0.0797,0,41433.542,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.613,11H 30M 33.5829999999987S,22.9605,5.505534,3.2112,0.0851,0,41433.583,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.616,11H 30M 33.625S,22.9608,5.505648,3.2112,0.0964,0,41433.625,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.62,11H 30M 33.6670000000013S,22.9617,5.505822,3.2112,0.1091,0,41433.667,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.623,11H 30M 33.7079999999987S,22.9627,5.50589,3.2112,0.1222,0,41433.708,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.625,11H 30M 33.75S,22.9633,5.506012,3.2112,0.1357,0,41433.75,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.626,11H 30M 33.7920000000013S,22.9639,5.506049,3.2112,0.1483,0,41433.792,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.627,11H 30M 33.8329999999987S,22.9643,5.506012,3.2112,0.1614,0,41433.833,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.629,11H 30M 33.875S,22.9644,5.505936,3.2112,0.1734,0,41433.875,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.631,11H 30M 33.9170000000013S,22.9642,5.50583,3.2112,0.1843,0,41433.917,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.632,11H 30M 33.9579999999987S,22.9634,5.505815,3.2112,0.1941,0,41433.958,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.635,11H 30M 34S,22.9626,5.505716,3.2125,0.2012,0,41434,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.638,11H 30M 34.0420000000013S,22.9618,5.505686,3.2112,0.207,0,41434.042,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.642,11H 30M 34.0829999999987S,22.9607,5.505648,3.2112,0.2056,0,41434.083,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.647,11H 30M 34.125S,22.96,5.505603,3.2112,0.1984,0,41434.125,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.652,11H 30M 34.1670000000013S,22.96,5.505481,3.21,0.1857,0,41434.167,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.657,11H 30M 34.2079999999987S,22.9564,5.505285,3.2112,0.1707,0,41434.208,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.661,11H 30M 34.25S,22.9494,5.504951,3.2112,0.1587,0,41434.25,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.665,11H 30M 34.2920000000013S,22.9505,5.505103,3.2112,0.1548,0,41434.292,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.669,11H 30M 34.3329999999987S,22.9556,5.505421,3.2112,0.1535,0,41434.333,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.673,11H 30M 34.375S,22.9598,5.505625,3.2112,0.1587,0,41434.375,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.676,11H 30M 34.4170000000013S,22.962,5.505678,3.2112,0.1667,0,41434.417,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.678,11H 30M 34.4579999999987S,22.9637,5.505754,3.2112,0.1788,0,41434.458,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.681,11H 30M 34.5S,22.9638,5.505777,3.2112,0.1941,0,41434.5,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.684,11H 30M 34.5420000000013S,22.9638,5.505807,3.2112,0.2143,0,41434.542,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.687,11H 30M 34.5829999999987S,22.9639,5.505845,3.2112,0.2322,0,41434.583,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.689,11H 30M 34.625S,22.9625,5.50583,3.2112,0.2476,0,41434.625,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.69,11H 30M 34.6670000000013S,22.963,5.505853,3.2125,0.2555,0,41434.667,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.691,11H 30M 34.7079999999987S,22.9657,5.505868,3.2112,0.2571,0,41434.708,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.692,11H 30M 34.75S,22.9665,5.505898,3.2112,0.2555,0,41434.75,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.693,11H 30M 34.7920000000013S,22.9635,5.506034,3.2125,0.2523,0,41434.792,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.694,11H 30M 34.8329999999987S,22.9617,5.506224,3.2112,0.2508,0,41434.833,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.696,11H 30M 34.875S,22.9626,5.506345,3.2125,0.2508,0,41434.875,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.696,11H 30M 34.9170000000013S,22.9652,5.506542,3.2125,0.2508,0,41434.917,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.697,11H 30M 34.9579999999987S,22.9697,5.506701,3.2112,0.2523,0,41434.958,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.698,11H 30M 35S,22.9721,5.506807,3.2112,0.2539,0,41435,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.7,11H 30M 35.0420000000013S,22.9732,5.506746,3.2125,0.2571,0,41435.042,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.701,11H 30M 35.0829999999987S,22.9714,5.506663,3.2125,0.2587,0,41435.083,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.702,11H 30M 35.125S,22.9689,5.506542,3.2125,0.2619,0,41435.125,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.703,11H 30M 35.1670000000013S,22.9673,5.506398,3.2125,0.2619,0,41435.167,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.704,11H 30M 35.2079999999987S,22.9673,5.506299,3.2112,0.2571,0,41435.208,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.704,11H 30M 35.25S,22.9668,5.506277,3.2125,0.2523,0,41435.25,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.705,11H 30M 35.2920000000013S,22.967,5.506269,3.2125,0.2445,0,41435.292,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.707,11H 30M 35.3329999999987S,22.9648,5.506239,3.2112,0.2353,0,41435.333,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.708,11H 30M 35.375S,22.9625,5.506231,3.2125,0.2277,0,41435.375,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.708,11H 30M 35.4170000000013S,22.9637,5.506163,3.2125,0.2217,0,41435.417,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.709,11H 30M 35.4579999999987S,22.9633,5.50614,3.2137,0.2143,0,41435.458,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.71,11H 30M 35.5S,22.9624,5.506095,3.2125,0.2041,0,41435.5,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.71,11H 30M 35.5420000000013S,22.9621,5.506125,3.2125,0.1955,0,41435.542,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.709,11H 30M 35.5829999999987S,22.964,5.506307,3.2137,0.1788,0,41435.583,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.708,11H 30M 35.625S,22.9675,5.506504,3.2125,0.16,0,41435.625,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.706,11H 30M 35.6670000000013S,22.97,5.506792,3.2137,0.1407,0,41435.667,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.705,11H 30M 35.7079999999987S,22.9716,5.506905,3.2137,0.1198,0,41435.708,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.703,11H 30M 35.75S,22.9721,5.506875,3.2125,0.0986,0,41435.75,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.7,11H 30M 35.7920000000013S,22.9709,5.506701,3.2125,0.0786,0,41435.792,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.697,11H 30M 35.8329999999987S,22.9713,5.50661,3.2137,0.0595,0,41435.833,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.695,11H 30M 35.875S,22.9717,5.506739,3.2125,0.0443,0,41435.875,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.692,11H 30M 35.9170000000013S,22.973,5.506678,3.2137,0.0374,0,41435.917,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.689,11H 30M 35.9579999999987S,22.969,5.506398,3.2137,0.0374,0,41435.958,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.685,11H 30M 36S,22.965,5.506103,3.2125,0.0413,0,41436,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.68,11H 30M 36.0420000000013S,22.9581,5.50608,3.2137,0.0493,0,41436.042,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.675,11H 30M 36.0829999999987S,22.9601,5.506368,3.2137,0.0564,0,41436.083,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.669,11H 30M 36.125S,22.9677,5.50708,3.2137,0.0626,0,41436.125,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.661,11H 30M 36.1670000000013S,22.976,5.507724,3.2137,0.0657,0,41436.167,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.653,11H 30M 36.2079999999987S,22.9803,5.507875,3.2137,0.0678,0,41436.208,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.644,11H 30M 36.25S,22.9803,5.50783,3.2149,0.07,0,41436.25,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.633,11H 30M 36.2920000000013S,22.9796,5.507754,3.2137,0.0678,0,41436.292,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.623,11H 30M 36.3329999999987S,22.9789,5.507602,3.2137,0.0647,0,41436.333,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.612,11H 30M 36.375S,22.9784,5.507451,3.2149,0.0605,0,41436.375,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.603,11H 30M 36.4170000000013S,22.9769,5.507284,3.2149,0.0543,0,41436.417,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.593,11H 30M 36.4579999999987S,22.9746,5.506958,3.2149,0.0453,0,41436.458,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.582,11H 30M 36.5S,22.97,5.506481,3.2149,0.0345,0,41436.5,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.572,11H 30M 36.5420000000013S,22.9639,5.505853,3.2137,0.0222,0,41436.542,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.563,11H 30M 36.5829999999987S,22.9581,5.505307,3.2137,0.0095,0,41436.583,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.554,11H 30M 36.625S,22.9564,5.50505,3.2149,-0.0019,0,41436.625,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.545,11H 30M 36.6670000000013S,22.956,5.505307,3.2149,-0.0121,0,41436.667,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.537,11H 30M 36.7079999999987S,22.9604,5.506398,3.2137,-0.0203,0,41436.708,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.529,11H 30M 36.75S,22.9696,5.508102,3.2149,-0.0275,0,41436.75,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.522,11H 30M 36.7920000000013S,22.9808,5.509186,3.2137,-0.0314,0,41436.792,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.517,11H 30M 36.8329999999987S,22.9839,5.508974,3.2137,-0.0314,0,41436.833,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.512,11H 30M 36.875S,22.9841,5.508663,3.2137,-0.0291,0,41436.875,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.509,11H 30M 36.9170000000013S,22.9891,5.508981,3.2137,-0.0227,0,41436.917,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.507,11H 30M 36.9579999999987S,22.9899,5.509587,3.2137,-0.017,0,41436.958,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.505,11H 30M 37S,22.9967,5.509958,3.2137,-0.0121,0,41437,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.505,11H 30M 37.0420000000013S,22.9997,5.510125,3.2137,-0.0079,0,41437.042,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.507,11H 30M 37.0829999999987S,23.0013,5.510193,3.2125,-0.0062,0,41437.083,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.509,11H 30M 37.125S,23.002,5.509792,3.2125,-0.0045,0,41437.125,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.512,11H 30M 37.1670000000013S,22.991,5.508352,3.2125,-0.0019,0,41437.167,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.516,11H 30M 37.2079999999987S,22.9771,5.506716,3.2125,0.005,0,41437.208,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.522,11H 30M 37.25S,22.9684,5.505701,3.2125,0.0131,0,41437.25,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.528,11H 30M 37.2920000000013S,22.961,5.505087,3.2125,0.0241,0,41437.292,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.535,11H 30M 37.3329999999987S,22.9558,5.504732,3.2112,0.0336,0,41437.333,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.541,11H 30M 37.375S,22.9524,5.504398,3.2112,0.0404,0,41437.375,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.549,11H 30M 37.4170000000013S,22.9508,5.504247,3.2112,0.0443,0,41437.417,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.558,11H 30M 37.4579999999987S,22.9489,5.504292,3.2112,0.0443,0,41437.458,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.567,11H 30M 37.5S,22.9492,5.504542,3.2112,0.0433,0,41437.5,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.577,11H 30M 37.5420000000013S,22.9517,5.504906,3.2125,0.0413,0,41437.542,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.588,11H 30M 37.5829999999987S,22.9542,5.505239,3.2112,0.0384,0,41437.583,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
1.601,11H 30M 37.625S,22.9558,5.505391,3.2112,0.0345,0,41437.625,NA,Jun,11,2021,NA,NA,NA,NA,NA,NA,NA,11 Jun 2021
