pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,date
400.747,11H 44M 22S,NA,NA,NA,NA,NA,42262,Fri,Jun,11,2021,43,87,57,532,52,48,56,11 Jun 2021
400.613,11H 44M 23S,NA,NA,NA,NA,NA,42263,Fri,Jun,11,2021,47,88,56,532,56,49,56,11 Jun 2021
400.534,11H 44M 24S,NA,NA,NA,NA,NA,42264,Fri,Jun,11,2021,47,88,57,532,60,50,51,11 Jun 2021
400.674,11H 44M 25S,NA,NA,NA,NA,NA,42265,Fri,Jun,11,2021,49,91,56,532,65,49,52,11 Jun 2021
400.639,11H 44M 27S,NA,NA,NA,NA,NA,42267,Fri,Jun,11,2021,46,102,55,532,59,49,57,11 Jun 2021
400.689,11H 44M 28S,NA,NA,NA,NA,NA,42268,Fri,Jun,11,2021,700,460,532,NA,60,50,54,11 Jun 2021
400.623,11H 44M 29S,NA,NA,NA,NA,NA,42269,Fri,Jun,11,2021,44,91,56,532,64,50,50,11 Jun 2021
400.655,11H 44M 30S,NA,NA,NA,NA,NA,42270,Fri,Jun,11,2021,48,88,57,532,62,50,52,11 Jun 2021
400.621,11H 44M 32S,NA,NA,NA,NA,NA,42272,Fri,Jun,11,2021,49,86,56,532,62,49,54,11 Jun 2021
400.64,11H 44M 33S,NA,NA,NA,NA,NA,42273,Fri,Jun,11,2021,48,84,56,532,61,50,56,11 Jun 2021
400.607,11H 44M 34S,NA,NA,NA,NA,NA,42274,Fri,Jun,11,2021,45,83,56,532,61,50,57,11 Jun 2021
400.739,11H 44M 36S,NA,NA,NA,NA,NA,42276,Fri,Jun,11,2021,47,87,56,532,60,50,50,11 Jun 2021
400.644,11H 44M 37S,NA,NA,NA,NA,NA,42277,Fri,Jun,11,2021,49,87,56,532,59,49,54,11 Jun 2021
400.5,11H 44M 38S,NA,NA,NA,NA,NA,42278,Fri,Jun,11,2021,49,91,57,532,62,50,56,11 Jun 2021
400.618,11H 44M 39S,NA,NA,NA,NA,NA,42279,Fri,Jun,11,2021,45,86,56,532,62,50,55,11 Jun 2021
400.639,11H 44M 41S,NA,NA,NA,NA,NA,42281,Fri,Jun,11,2021,45,81,56,532,59,46,51,11 Jun 2021
400.621,11H 44M 42S,NA,NA,NA,NA,NA,42282,Fri,Jun,11,2021,49,87,57,532,58,48,53,11 Jun 2021
400.629,11H 44M 43S,NA,NA,NA,NA,NA,42283,Fri,Jun,11,2021,50,89,57,532,60,50,52,11 Jun 2021
400.661,11H 44M 45S,NA,NA,NA,NA,NA,42285,Fri,Jun,11,2021,50,88,57,532,63,52,56,11 Jun 2021
400.728,11H 44M 46S,NA,NA,NA,NA,NA,42286,Fri,Jun,11,2021,49,88,57,532,63,51,53,11 Jun 2021
400.544,11H 44M 48S,NA,NA,NA,NA,NA,42288,Fri,Jun,11,2021,44,82,56,532,58,47,54,11 Jun 2021
400.611,11H 44M 49S,NA,NA,NA,NA,NA,42289,Fri,Jun,11,2021,44,94,57,532,59,47,53,11 Jun 2021
400.616,11H 44M 50S,NA,NA,NA,NA,NA,42290,Fri,Jun,11,2021,47,87,57,532,61,49,53,11 Jun 2021
400.499,11H 44M 51S,NA,NA,NA,NA,NA,42291,Fri,Jun,11,2021,46,87,57,532,60,48,54,11 Jun 2021
400.387,11H 44M 52S,NA,NA,NA,NA,NA,42292,Fri,Jun,11,2021,48,88,56,532,62,50,55,11 Jun 2021
400.023,11H 44M 54S,NA,NA,NA,NA,NA,42294,Fri,Jun,11,2021,44,92,56,532,58,50,52,11 Jun 2021
399.82,11H 44M 55S,NA,NA,NA,NA,NA,42295,Fri,Jun,11,2021,45,85,57,532,63,50,53,11 Jun 2021
399.604,11H 44M 56S,NA,NA,NA,NA,NA,42296,Fri,Jun,11,2021,47,86,57,532,66,47,52,11 Jun 2021
399.29,11H 44M 57S,NA,NA,NA,NA,NA,42297,Fri,Jun,11,2021,46,90,57,532,63,49,50,11 Jun 2021
398.939,11H 44M 58S,NA,NA,NA,NA,NA,42298,Fri,Jun,11,2021,46,92,56,532,63,48,50,11 Jun 2021
398.724,11H 44M 59S,NA,NA,NA,NA,NA,42299,Fri,Jun,11,2021,46,89,56,532,62,50,52,11 Jun 2021
398.546,11H 45M 0S,NA,NA,NA,NA,NA,42300,Fri,Jun,11,2021,49,90,56,532,61,52,55,11 Jun 2021
396.781,11H 45M 4S,NA,NA,NA,NA,NA,42304,Fri,Jun,11,2021,47,85,56,532,64,50,49,11 Jun 2021
396.221,11H 45M 5S,NA,NA,NA,NA,NA,42305,Fri,Jun,11,2021,47,85,56,532,63,46,50,11 Jun 2021
395.792,11H 45M 6S,NA,NA,NA,NA,NA,42306,Fri,Jun,11,2021,47,90,56,533,63,50,49,11 Jun 2021
395.252,11H 45M 7S,NA,NA,NA,NA,NA,42307,Fri,Jun,11,2021,50,90,56,532,62,48,50,11 Jun 2021
394.659,11H 45M 8S,NA,NA,NA,NA,NA,42308,Fri,Jun,11,2021,46,88,57,532,62,46,50,11 Jun 2021
394.094,11H 45M 9S,NA,NA,NA,NA,NA,42309,Fri,Jun,11,2021,46,84,57,532,62,47,52,11 Jun 2021
393.617,11H 45M 10S,NA,NA,NA,NA,NA,42310,Fri,Jun,11,2021,48,89,56,532,62,50,53,11 Jun 2021
393.154,11H 45M 11S,NA,NA,NA,NA,NA,42311,Fri,Jun,11,2021,47,87,56,533,61,51,52,11 Jun 2021
391.931,11H 45M 13S,NA,NA,NA,NA,NA,42313,Fri,Jun,11,2021,47,88,56,532,60,50,56,11 Jun 2021
391.556,11H 45M 14S,NA,NA,NA,NA,NA,42314,Fri,Jun,11,2021,46,83,56,532,59,50,52,11 Jun 2021
391.121,11H 45M 15S,NA,NA,NA,NA,NA,42315,Fri,Jun,11,2021,47,86,56,533,60,50,51,11 Jun 2021
390.514,11H 45M 16S,NA,NA,NA,NA,NA,42316,Fri,Jun,11,2021,47,86,56,532,61,50,52,11 Jun 2021
389.903,11H 45M 17S,NA,NA,NA,NA,NA,42317,Fri,Jun,11,2021,48,89,56,532,62,52,51,11 Jun 2021
388.557,11H 45M 20S,NA,NA,NA,NA,NA,42320,Fri,Jun,11,2021,45,86,56,533,59,49,52,11 Jun 2021
387.499,11H 45M 22S,NA,NA,NA,NA,NA,42322,Fri,Jun,11,2021,47,87,57,532,60,49,50,11 Jun 2021
387.003,11H 45M 23S,NA,NA,NA,NA,NA,42323,Fri,Jun,11,2021,46,90,57,532,62,50,52,11 Jun 2021
386.466,11H 45M 24S,NA,NA,NA,NA,NA,42324,Fri,Jun,11,2021,46,88,56,532,61,52,52,11 Jun 2021
386.012,11H 45M 25S,NA,NA,NA,NA,NA,42325,Fri,Jun,11,2021,46,84,56,533,62,47,56,11 Jun 2021
385.566,11H 45M 26S,NA,NA,NA,NA,NA,42326,Fri,Jun,11,2021,47,91,56,532,61,50,56,11 Jun 2021
384.957,11H 45M 27S,NA,NA,NA,NA,NA,42327,Fri,Jun,11,2021,46,87,56,533,58,47,54,11 Jun 2021
384.341,11H 45M 28S,NA,NA,NA,NA,NA,42328,Fri,Jun,11,2021,48,84,56,532,60,49,51,11 Jun 2021
383.956,11H 45M 29S,NA,NA,NA,NA,NA,42329,Fri,Jun,11,2021,47,87,57,533,61,48,53,11 Jun 2021
382.292,11H 45M 32S,NA,NA,NA,NA,NA,42332,Fri,Jun,11,2021,46,86,56,532,62,50,54,11 Jun 2021
381.875,11H 45M 33S,NA,NA,NA,NA,NA,42333,Fri,Jun,11,2021,45,87,56,533,58,50,52,11 Jun 2021
381.456,11H 45M 34S,NA,NA,NA,NA,NA,42334,Fri,Jun,11,2021,45,87,57,532,63,50,52,11 Jun 2021
380.353,11H 45M 36S,NA,NA,NA,NA,NA,42336,Fri,Jun,11,2021,49,85,56,533,62,52,52,11 Jun 2021
379.846,11H 45M 37S,NA,NA,NA,NA,NA,42337,Fri,Jun,11,2021,47,87,56,532,61,50,56,11 Jun 2021
379.383,11H 45M 38S,NA,NA,NA,NA,NA,42338,Fri,Jun,11,2021,47,89,56,533,57,50,57,11 Jun 2021
378.429,11H 45M 40S,NA,NA,NA,NA,NA,42340,Fri,Jun,11,2021,48,92,57,532,63,50,52,11 Jun 2021
377.893,11H 45M 41S,NA,NA,NA,NA,NA,42341,Fri,Jun,11,2021,49,90,56,533,62,50,57,11 Jun 2021
377.441,11H 45M 42S,NA,NA,NA,NA,NA,42342,Fri,Jun,11,2021,47,87,55,533,58,51,55,11 Jun 2021
376.979,11H 45M 43S,NA,NA,NA,NA,NA,42343,Fri,Jun,11,2021,46,87,56,533,59,49,55,11 Jun 2021
376.45,11H 45M 44S,NA,NA,NA,NA,NA,42344,Fri,Jun,11,2021,44,87,57,533,60,49,54,11 Jun 2021
375.92,11H 45M 45S,NA,NA,NA,NA,NA,42345,Fri,Jun,11,2021,46,91,56,532,64,46,48,11 Jun 2021
