pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
69.976,13H 47M 34.4789999999994S,13.5142,4.511995,2.6669,0.2786,1.6492165,13.507856,13.504,38.4432,28.9575,4.1124,178.493,0,49654.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
70.22,13H 47M 35.4789999999994S,13.5153,4.512196,2.6659,0.2828,1.6495217,13.505804,13.5051,38.4438,28.9577,4.1122,178.482,0,49655.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
70.952,13H 47M 36.4789999999994S,13.516,4.512305,2.6661,0.2789,1.6495217,13.50033,13.5057,38.4438,28.9577,4.1144,178.576,0,49656.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
71.009,13H 47M 37.4789999999994S,13.516,4.51228,2.666,0.2855,1.64942,13.502383,13.5057,38.443600000000004,28.9574,4.1152,178.613,0,49657.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
70.494,13H 47M 38.4789999999994S,13.5148,4.512093,2.6674,0.2872,1.6489112,13.501014,13.5046,38.4432,28.9574,4.1228,178.941,0,49658.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
70.088,13H 47M 39.4789999999994S,13.5143,4.512027,2.6698,0.3078,1.6489112,13.505119,13.5041,38.4433,28.9576,4.125,179.038,0,49659.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
70.263,13H 47M 40.4789999999994S,13.515,4.512132,2.6694,0.316,1.6489621,13.502383,13.5048,38.4435,28.9576,4.1182,178.743,0,49660.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
70.747,13H 47M 41.4789999999994S,13.515,4.512158,2.6692,0.3111,1.6489621,13.501014,13.5047,38.4435,28.9576,4.1202,178.829,0,49661.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
70.853,13H 47M 42.4789999999994S,13.5147,4.512121,2.6691,0.3063,1.6487586,13.50033,13.5044,38.4434,28.9576,4.1181,178.737,0,49662.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
70.722,13H 47M 43.4789999999994S,13.5146,4.5121,2.6678,0.3166,1.6487077,13.506488,13.5043,38.4434,28.9576,4.1142,178.57,0,49663.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
