pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
1.738,13H 26M 50.4789999999994S,14.6247,4.619976,3.0459,0.3456,1.5205026,14.307771,14.6244,38.3831,28.6673,4.7481,206.141,0,48410.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.337,13H 26M 51.4789999999994S,14.6093,4.616748,3.047,0.2996,1.5196378,14.339147,14.6091,38.3684,28.6594,4.7566,206.511,0,48411.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.264,13H 26M 52.4789999999994S,14.5545,4.611567,3.0487,0.2999,1.518722,14.385521,14.5543,38.3744,28.6762,4.7624,206.761,0,48412.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.629,13H 26M 53.4789999999994S,14.5754,4.613989,3.0479,0.3372,1.5190781,14.376656,14.5751,38.3762,28.6729,4.7544,206.414,0,48413.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
2.039,13H 26M 54.4789999999994S,14.6616,4.622867,3.0473,0.3649,1.5199939,14.348695,14.6613,38.3733,28.6515,4.7471,206.102,0,48414.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.667,13H 26M 55.4789999999994S,14.6056,4.617513,3.0476,0.3672,1.5188746,14.374609,14.6053,38.3791,28.6685,4.7525,206.33,0,48415.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.264,13H 26M 56.4789999999994S,14.5935,4.616259,3.0463,0.3833,1.5173484,14.430525,14.5933,38.3796,28.6715,4.7492,206.188,0,48416.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.441,13H 26M 57.4789999999994S,14.64,4.620887,3.0465,0.3292,1.5175519,14.435298,14.6398,38.3765,28.6588,4.7533,206.37,0,48417.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.756,13H 26M 58.4789999999994S,14.5179,4.607895,3.0493,0.3127,1.5184676,14.397795,14.5176,38.3762,28.6857,4.7649,206.865,0,48418.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.674,13H 26M 59.4789999999994S,14.5365,4.610255,3.0453,0.3186,1.5185694,14.385521,14.5362,38.3799,28.6844,4.7395,205.766,0,48419.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.372,13H 27M 0.47899999999936S,14.6112,4.617941,3.0399,0.3715,1.5178063,14.414161,14.611,38.3777,28.6661,4.7327,205.472,0,48420.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.563,13H 27M 1.47899999999936S,14.443,4.598935,3.042,0.3605,1.5173993,14.433934,14.4428,38.3667,28.6949,4.7684,207.017,0,48421.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.897,13H 27M 2.47899999999936S,14.3173,4.586381,3.0452,0.332,1.5183659,14.389612,14.317,38.3739,28.7282,4.7779,207.424,0,48422.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.495,13H 27M 3.47899999999936S,14.3999,4.595964,3.0428,0.3389,1.5178571,14.410068,14.3997,38.3818,28.7161,4.7526,206.328,0,48423.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.211,13H 27M 4.47899999999936S,14.4916,4.60491,3.0382,0.4363,1.5170431,14.450297,14.4914,38.3746,28.6902,4.7387,205.726,0,48424.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.596,13H 27M 5.47899999999936S,14.3587,4.590094,3.038,0.4854,1.5184168,14.414842,14.3585,38.3677,28.7142,4.7578,206.553,0,48425.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.933,13H 27M 6.47899999999936S,14.2084,4.574752,3.0369,0.4627,1.5198413,14.366426,14.2081,38.373,28.7514,4.7668,206.938,0,48426.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.956,13H 27M 7.47899999999936S,14.2725,4.582273,3.0358,0.3902,1.5192816,14.363017,14.2722,38.3799,28.7427,4.7656,206.887,0,48427.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
1.973,13H 27M 8.47899999999936S,14.2037,4.575065,3.0384,0.3845,1.5181624,14.385521,14.2034,38.3807,28.7583,4.7763,207.347,0,48428.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
2.397,13H 27M 9.47899999999936S,14.1825,4.57237,3.0364,0.3585,1.5185185,14.401887,14.1821,38.3762,28.7595,4.7657,206.886,0,48429.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
3.25,13H 27M 10.4789999999994S,14.3147,4.586531,3.0343,0.3701,1.520757,14.292763,14.3142,38.3773,28.7314,4.754,206.384,0,48430.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
3.984,13H 27M 11.4789999999994S,14.2718,4.58189,3.0339,0.3658,1.52035,14.323459,14.2712,38.3761,28.74,4.7551,206.428,0,48431.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
4.409,13H 27M 12.4789999999994S,14.2795,4.582835,3.031,0.3579,1.5199939,14.32687,14.2789,38.3771,28.739,4.7461,206.04,0,48432.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
4.859,13H 27M 13.4789999999994S,14.282,4.582885,3.0291,0.3613,1.5206552,14.311182,14.2813,38.3749,28.7368,4.7445,205.97,0,48433.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
5.711,13H 27M 14.4789999999994S,14.2353,4.578028,3.0269,0.3596,1.5221815,14.252516,14.2345,38.3753,28.7474,4.7447,205.979,0,48434.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
6.574,13H 27M 15.4789999999994S,14.2075,4.575108,3.0252,0.3502,1.5237586,14.208167,14.2066,38.3751,28.7534,4.7402,205.782,0,48435.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
7.159,13H 27M 16.4789999999994S,14.1855,4.572745,3.0193,0.3332,1.5234534,14.208167,14.1844,38.3746,28.7578,4.721,204.944,0,48436.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
7.629,13H 27M 17.4789999999994S,14.173400000000001,4.571686,3.0128,0.347,1.5233516,14.214308,14.1723,38.3765,28.7619,4.7159,204.725,0,48437.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
8.236,13H 27M 18.4789999999994S,14.044,4.557334,3.0097,0.3648,1.5236569,14.191108,14.0428,38.37,28.7851,4.7319,205.412,0,48438.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
9.038,13H 27M 19.4789999999994S,14.0033,4.553485,3.0099,0.3813,1.526862,14.080538,14.002,38.3739,28.797,4.7399,205.759,0,48439.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
9.736,13H 27M 20.4789999999994S,13.9939,4.552536,3.0083,0.3992,1.5283883,14.012952,13.9925,38.3741,28.7991,4.7341,205.506,0,48440.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
