strain,replicate,sampling_date,time,chla_conc_spectro,dilution,440nm_max,470nm_max,532nm_max,440nm_mean,470nm_mean,532nm_mean,numb_events,dilution_cyto,facteur dilution,flow_rate(µL/min),number_cells,filtered_volume,diameter,replicate_number,gain,F0,Fmd,Fm,Fv/Fm,f0_440,f0_480,f0_540,f0_590,f0_625,cruise_or_project,sample_code,culture,filtered_vol_l,chlorophyll_c3,chlc3_qa,mg_dvp,mg_dvp_qa,chlorophyll_c1_c2_mg_dvp,chlc2_qa,sum_chlorophyllid_a,chlda_qa,peridinin,peri_qa,sum_phaeophorbid_a,phda_qa,x19_butanoyloxyfucoxanthin,but_qa,fucoxanthin,fuco_qa,diadinoxanthin,diadino_qa,diatoxanthin,diato_qa,zeaxanthin,zea_qa,bacteriochlorophyll_a,bchla_qa,divinyl_chlorophyll_b,dv_chlb_qa,chlorophyll_b,chlb_qa,t_chlb,t_chlb_qa,divinyl_chlorophyll_a,dv_chla_qa,chlorophyll_a,chla_qa,total_chlorophyll_a,tchla_qa,sum_phaeophytin_a,phytna_qa,a_carotene,a_car_qa,b_carotene,b_car_qa,sum_carotenes,tcar_qa
RCC2379,B,2020-10-30T00:00:00Z,1899-12-31T15:18:00Z,0.18955520000000003,4,85,77,75,79.6666666666666,71.2559523809523,69.9880952380952,770,"NA",1,34.13333333333333,22558.59375,NA,NA,NA,18,975,"NA",564,-0.7287234042553191,567,427,975,1387,1201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCC2379,B,2020-10-30T00:00:00Z,1899-12-31T15:35:00Z,0.03787316683316684,5,88,65,72,81.358024691358,60.0308641975308,67.2777777777777,3954,"NA",1,34.13333333333333,115839.84375,NA,NA,NA,18,940,"NA",915,-0.0273224043715847,551,413,940,1359,1255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCC2379,C,2020-11-02T00:00:00Z,1899-12-31T17:02:00Z,57.96,Cmere,NA,NA,NA,NA,NA,NA,10920,0.01,100,34.13333333333333,31992187.5,NA,NA,NA,14,1354,1543,3185,0.5748822605965463,495,811,1354,629,573,MANIP_EFFICACY_FPETIT2020,RCC2379_C_DM,Synechococcus sp.,0.03,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,48.9669,1,0.2295,1,0,1,0,1,0,1,0,1,67.0711,1,67.0711,1,0,1,0,1,6.2349,1,6.2349,1
RCC2379,C,2020-11-02T00:00:00Z,1899-12-31T17:02:00Z,5.217177600000001,1,170,304,145,165.224242424242,296.975757575757,140.466666666666,10078,0.1,10,34.13333333333333,2952539.0625,NA,NA,NA,17,981,1048,1514,0.3520475561426684,491,496,981,1018,905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCC2379,C,2020-11-02T00:00:00Z,1899-12-31T17:26:00Z,1.1593728,2,102,146,88,97.0116959064327,139.432748538011,83.7719298245614,20048,"NA",1,34.13333333333333,587343.75,NA,NA,NA,18,1010,1027,1153,0.12402428447528187,552,448,1010,1364,1200,MANIP_EFFICACY_FPETIT2020,RCC2379_C_D2,Synechococcus sp.,0.99503,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.933,1,0.0052,1,0,1,0,1,0,1,0,1,1.2843,1,1.2843,1,0,1,0,1,0.1155,1,0.1155,1
RCC2379,C,2020-11-02T00:00:00Z,1899-12-31T17:43:00Z,0.2898432,3,97,75,77,92.1385542168674,71.0361445783132,72.5301204819277,4198,"NA",1,34.13333333333333,122988.28125,NA,NA,NA,18,858,504,502,-0.7091633466135459,492,379,858,1230,1132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCC2379,C,2020-11-02T00:00:00Z,1899-12-31T18:04:00Z,0.05791072927072928,4,91,69,72,86.8117647058823,63.6058823529411,66.6588235294117,1120,"NA",1,34.13333333333333,32812.5,NA,NA,NA,18,926,544,537,-0.7243947858472998,536,412,926,1310,1195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCC2379,C,2020-11-02T00:00:00Z,1899-12-31T18:21:00Z,0.028969835082458775,5,94,64,76,87.1619718309859,59.2112676056338,71.3521126760563,559,"NA",1,34.13333333333333,16376.953125,NA,NA,NA,18,933,556,543,-0.7182320441988951,541,408,933,1343,1183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCC2379,D,2020-11-04T00:00:00Z,1899-12-31T15:42:00Z,47.93,Cmere,NA,NA,NA,NA,NA,NA,9310,0.01,100,47.5,19600000,NA,NA,NA,14,1104,1279,2636,0.5811836115326252,425,661,1104,568,519,MANIP_EFFICACY_FPETIT2020,RCC2379_D_DM,Synechococcus sp.,0.03,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,38.0147,1,0.1735,1,0,1,0,1,0,1,0,1,52.3095,1,52.3095,1,0,1,0,1,5.0314,1,5.0314,1
RCC2379,D,2020-11-04T00:00:00Z,1899-12-31T15:42:00Z,4.313894400000001,1,184,255,136,177.933333333333,251.10909090909,131.824242424242,8889,0.1,10,47.5,1871368.4210526317,NA,NA,NA,18,1365,1444,2025,0.32592592592592595,689,685,1365,1507,1371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCC2379,D,2020-11-04T00:00:00Z,1899-12-31T15:56:00Z,0.9586432000000001,2,112,111,93,108.195121951219,105.067073170731,87.8414634146341,19249,"NA",1,47.5,405242.1052631579,NA,NA,NA,18,1046,1078,1180,0.1135593220338983,593,478,1046,1424,1314,MANIP_EFFICACY_FPETIT2020,RCC2379_D_D2,Synechococcus sp.,0.99503,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.7157,1,0.0033,1,0,1,0,1,0,1,0,1,0.9925,1,0.9925,1,0,1,0,1,0.0911,1,0.0911,1
RCC2379,D,2020-11-04T00:00:00Z,1899-12-31T16:08:00Z,0.23966080000000003,3,109,78,82,102.140127388535,73.4394904458598,76.3057324840764,5145,"NA",1,47.5,108315.7894736842,NA,NA,NA,18,929,945,953,0.025183630640083946,523,407,929,1341,1207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
