pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
67.28392800000036,13H 37M -3S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49017,Wed,Mar,03,2021,200,188,56,534,155,194,NA,NA,ECOV2-B00206,554,312,70,29905,312,220,64,29759,220,297,70,29443,297,300,67,30010,300,13.82,03 Mar 2021
67.90142300000042,13H 37M -2S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49018,Wed,Mar,03,2021,190,177,56,534,151,178,66,540,ECOV2-B00206,555,305,70,29908,305,218,64,29755,218,318,71,29437,318,300,67,30016,300,13.82,03 Mar 2021
68.57953200000044,13H 37M -1S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49019,Wed,Mar,03,2021,185,192,56,533,NA,NA,NA,NA,ECOV2-B00206,556,313,73,29890,313,230,64,29753,230,330,72,29430,330,301,68,30020,301,13.82,03 Mar 2021
69.18400400000034,13H 37M 0S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49020,Wed,Mar,03,2021,189,173,56,534,142,187,65,540,ECOV2-B00206,557,288,68,29900,288,242,66,29758,242,288,69,29431,288,303,67,30014,303,13.82,03 Mar 2021
69.70748300000034,13H 37M 1S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49021,Wed,Mar,03,2021,186,178,56,534,147,176,64,540,ECOV2-B00206,558,313,71,29894,313,236,66,29747,236,312,72,29429,312,302,68,30011,302,13.82,03 Mar 2021
70.30133900000043,13H 37M 2S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49022,Wed,Mar,03,2021,700,460,534,NA,155,174,66,540,ECOV2-B00206,559,288,68,29894,288,222,65,29744,222,330,73,29430,330,301,67,30008,301,13.82,03 Mar 2021
70.30133900000043,13H 37M 2S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49022,Wed,Mar,03,2021,700,460,534,NA,155,174,66,540,ECOV2-B00206,560,259,66,29884,259,217,64,29748,217,315,72,29429,315,300,67,30006,300,13.82,03 Mar 2021
70.95617100000042,13H 37M 3S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49023,Wed,Mar,03,2021,219,172,56,534,144,180,65,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
72.10934000000034,13H 37M 5S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49025,Wed,Mar,03,2021,172,189,56,534,138,165,63,540,ECOV2-B00206,563,269,67,29886,269,236,65,29749,236,279,68,29420,279,300,67,29992,300,13.82,03 Mar 2021
72.68945700000039,13H 37M 6S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49026,Wed,Mar,03,2021,175,188,55,534,142,221,61,540,ECOV2-B00206,564,248,66,29880,248,223,64,29746,223,257,66,29411,257,301,67,29993,301,13.82,03 Mar 2021
73.3872120000005,13H 37M 7S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49027,Wed,Mar,03,2021,194,177,5,NA,141,166,64,540,ECOV2-B00206,565,252,66,29882,252,215,64,29743,215,255,66,29401,255,300,68,29993,300,13.82,03 Mar 2021
74.10919600000044,13H 37M 8S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49028,Wed,Mar,03,2021,170,179,55,534,132,165,63,540,ECOV2-B00206,566,297,70,29883,297,228,65,29741,228,251,67,29412,251,301,68,29991,301,13.82,03 Mar 2021
74.63045900000024,13H 37M 9S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49029,Wed,Mar,03,2021,200,183,56,534,129,156,61,540,ECOV2-B00206,567,248,66,29865,248,271,70,29736,271,244,66,29403,244,304,67,29986,304,13.82,03 Mar 2021
75.01154300000024,13H 37M 10S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49030,Wed,Mar,03,2021,155,168,56,534,131,150,58,540,ECOV2-B00206,568,232,65,29867,232,206,63,29734,206,291,71,29406,291,302,67,29989,302,13.82,03 Mar 2021
75.5242720000004,13H 37M 11S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49031,Wed,Mar,03,2021,165,174,56,534,132,151,62,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
76.23077500000049,13H 37M 12S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49032,Wed,Mar,03,2021,188,178,56,534,137,168,63,540,ECOV2-B00206,569,229,65,29875,229,223,64,29746,223,245,66,29399,245,300,NA,NA,NA,NA,03 Mar 2021
77.6193490000003,13H 37M 14S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49034,Wed,Mar,03,2021,164,171,56,534,131,169,59,540,ECOV2-B00206,572,239,65,29868,239,235,65,29746,235,237,65,29395,237,302,68,29985,302,13.83,03 Mar 2021
