pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
349.39468700000015,9H 32M 56S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34376,Thu,Mar,04,2021,47,87,5,NA,62,50,54,ECOV2-B00206,1268,58,51,29146,58,102,52,29211,102,53,50,28325,53,334,72,29275,334,13.84,04 Mar 2021
350.19233800000046,9H 32M 58S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34378,Thu,Mar,04,2021,46,85,57,535,59,50,51,ECOV2-B00206,1270,56,50,29150,56,112,53,29209,112,54,49,28344,54,335,72,29282,335,13.83,04 Mar 2021
351.06047100000063,9H 32M 59S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34379,Thu,Mar,04,2021,47,88,58,535,61,47,50,ECOV2-B00206,1271,61,50,29152,61,109,55,29223,109,57,50,28338,57,334,72,29288,334,13.83,04 Mar 2021
351.83745700000037,9H 33M 0S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34380,Thu,Mar,04,2021,48,87,57,535,61,50,52,ECOV2-B00206,1272,58,50,29149,58,112,55,29214,112,55,49,28337,55,333,71,29276,333,13.84,04 Mar 2021
352.36224000000027,9H 33M 1S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34381,Thu,Mar,04,2021,50,87,58,535,60,52,NA,ECOV2-B00206,1273,58,50,29154,58,101,52,29218,101,55,50,28345,55,335,72,29271,335,13.83,04 Mar 2021
352.9012300000004,9H 33M 2S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34382,Thu,Mar,04,2021,48,87,57,535,60,51,54,ECOV2-B00206,1274,58,50,29146,58,107,54,29215,107,57,50,28349,57,334,71,29289,334,13.84,04 Mar 2021
353.54738100000037,9H 33M 3S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34383,Thu,Mar,04,2021,42,86,57,535,57,48,51,ECOV2-B00206,1275,60,51,29158,60,104,53,29219,104,54,50,28330,54,333,71,29287,333,13.82,04 Mar 2021
354.1849360000004,9H 33M 4S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34384,Thu,Mar,04,2021,45,86,57,535,59,46,51,ECOV2-B00206,1276,59,51,29159,59,110,54,29217,110,56,50,28339,56,333,70,29282,333,13.83,04 Mar 2021
354.8139610000004,9H 33M 5S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34385,Thu,Mar,04,2021,49,100,57,535,NA,NA,NA,ECOV2-B00206,1277,58,51,29158,58,116,55,29212,116,55,50,28343,55,333,71,29278,333,13.83,04 Mar 2021
356.01102900000035,9H 33M 7S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34387,Thu,Mar,04,2021,46,90,57,535,57,48,NA,ECOV2-B00206,1279,57,50,29148,57,106,52,29224,106,56,50,28340,56,335,72,29286,335,13.84,04 Mar 2021
356.6063980000004,9H 33M 8S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34388,Thu,Mar,04,2021,49,88,57,535,60,50,50,ECOV2-B00206,1280,60,50,29151,60,101,52,29215,101,53,50,28343,53,334,70,29290,334,13.83,04 Mar 2021
