pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
406.151,11H 54M 7.47899999999936S,13.5437,4.548314,2.1415,0.196,1.8380647,13.525645,13.4839,38.6083,29.0898,3.1522,136.8,0,42847.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
405.504,11H 54M 8.47899999999936S,13.5442,4.548358,2.1417,0.1905,1.837912,13.53317,13.4846,38.6085,29.0898,3.1554,136.936,0,42848.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
405.165,11H 54M 9.47899999999936S,13.5446,4.548391,2.1424,0.1786,1.8377594,13.529065,13.485,38.6086,29.0898,3.1561,136.968,0,42849.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
405.801,11H 54M 10.4789999999994S,13.544,4.548334,2.1424,0.171,1.8377594,13.526329,13.4843,38.6084,29.0897,3.156,136.962,0,42850.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
406.032,11H 54M 11.4789999999994S,13.5437,4.548326,2.1428,0.1706,1.8382173,13.530434,13.484,38.6085,29.0899,3.1581,137.055,0,42851.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
405.587,11H 54M 12.4789999999994S,13.5443,4.548353,2.1433,0.1766,1.8380647,13.529065,13.4846,38.6084,29.0897,3.1594,137.109,0,42852.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
405.558,11H 54M 13.4789999999994S,13.5437,4.548292,2.1442,0.1767,1.8378103,13.529065,13.4841,38.6083,29.0898,3.1604,137.155,0,42853.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
405.878,11H 54M 14.4789999999994S,13.5429,4.54821,2.1439,0.1812,1.8379629,13.529749,13.4832,38.6083,29.0899,3.1554,136.937,0,42854.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
405.757,11H 54M 15.4789999999994S,13.5432,4.548233,2.1424,0.1797,1.837912,13.529749,13.4835,38.6082,29.0898,3.1509,136.743,0,42855.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
405.442,11H 54M 16.4789999999994S,13.5432,4.548237,2.1419,0.1835,1.8378103,13.527013,13.4836,38.6084,29.0899,3.1566,136.99,0,42856.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
405.574,11H 54M 17.4789999999994S,13.543,4.548227,2.1433,0.1773,1.8377085,13.529065,13.4834,38.6084,29.09,3.1591,137.097,0,42857.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
405.891,11H 54M 18.4789999999994S,13.5428,4.548198,2.1429,0.1834,1.8380138,13.528381,13.4831,38.6083,29.0899,3.1556,136.943,0,42858.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
405.971,11H 54M 19.4789999999994S,13.5429,4.548215,2.1431,0.1858,1.8378103,13.529065,13.4832,38.6083,29.0899,3.156,136.963,0,42859.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
405.826,11H 54M 20.4789999999994S,13.5429,4.548203,2.1419,0.1851,1.8375559,13.530434,13.4832,38.6082,29.0898,3.1485,136.636,0,42860.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
405.499,11H 54M 21.4789999999994S,13.5437,4.548285,2.1402,0.1959,1.8374033,13.527697,13.484,38.6084,29.0898,3.1464,136.548,0,42861.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
405.483,11H 54M 22.4789999999994S,13.5433,4.548253,2.1394,0.1944,1.8376068,13.531802,13.4837,38.6084,29.0899,3.1459,136.526,0,42862.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
405.597,11H 54M 23.4789999999994S,13.5431,4.548236,2.1392,0.1786,1.8375559,13.530434,13.4834,38.6084,29.0899,3.1512,136.756,0,42863.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
405.434,11H 54M 24.4789999999994S,13.5439,4.548306,2.1407,0.1867,1.8376577,13.527697,13.4843,38.6083,29.0897,3.1553,136.931,0,42864.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
405.105,11H 54M 25.4789999999994S,13.5444,4.548374,2.1413,0.1862,1.8378612,13.531118,13.4848,38.6086,29.0898,3.1553,136.934,0,42865.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
404.732,11H 54M 26.4789999999994S,13.5451,4.548443,2.1421,0.173,1.8378612,13.529749,13.4856,38.6087,29.0898,3.1535,136.854,0,42866.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
404.268,11H 54M 27.4789999999994S,13.5453,4.548443,2.1412,0.1648,1.8378612,13.530434,13.485900000000001,38.6087,29.0897,3.1519,136.785,0,42867.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
403.636,11H 54M 28.4789999999994S,13.5453,4.54842,2.1419,0.1718,1.8378612,13.53317,13.485900000000001,38.6088,29.0897,3.1561,136.965,0,42868.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
402.885,11H 54M 29.4789999999994S,13.5459,4.548465,2.143,0.1972,1.8377594,13.53317,13.4867,38.609,29.0897,3.1587,137.081,0,42869.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
401.976,11H 54M 30.4789999999994S,13.546,4.54842,2.1436,0.1994,1.8379629,13.531118,13.4869,38.6089,29.0896,3.1584,137.067,0,42870.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
400.817,11H 54M 31.4789999999994S,13.546,4.548377,2.1442,0.1824,1.8376577,13.53317,13.4871,38.6089,29.0896,3.1574,137.025,0,42871.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
399.689,11H 54M 32.4789999999994S,13.5469,4.548443,2.1437,0.1816,1.8378103,13.531802,13.4881,38.6092,29.0896,3.1525,136.813,0,42872.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
