pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
14.753,8H 23M 2.47899999999936S,13.4798,4.497229,3.0132,2.2839,1.5259463,13.451062,13.4777,38.3617,28.8999,4.7999,208.343,0,30182.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.823,8H 23M 3.47899999999936S,13.4788,4.497135,3.0123,2.2609,1.5258954,13.451062,13.4767,38.3619,28.9003,4.7995,208.323,0,30183.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.602,8H 23M 4.47899999999936S,13.4824,4.497573,3.0113,2.2555,1.5261498,13.453115,13.4803,38.3625,28.9,4.7982,208.269,0,30184.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.441,8H 23M 5.47899999999936S,13.4838,4.497714,3.0112,2.4089,1.5262006,13.457905,13.4817,38.3626,28.8997,4.8007,208.376,0,30185.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.5,8H 23M 6.47899999999936S,13.4831,4.497627,3.0122,2.3897,1.5256919,13.455852,13.481,38.3624,28.8997,4.8045,208.542,0,30186.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.669,8H 23M 7.47899999999936S,13.4823,4.497519,3.0124,2.3667,1.5249287,13.45859,13.4802,38.3621,28.8997,4.7981,208.264,0,30187.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.687,8H 23M 8.47899999999936S,13.4822,4.497532,3.0095,2.3552,1.5255392,13.456537,13.48,38.3623,28.8999,4.785,207.695,0,30188.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.578,8H 23M 9.47899999999936S,13.4842,4.497769,3.0059,2.2954,1.5253866,13.45859,13.4821,38.3626,28.8997,4.7862,207.749,0,30189.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.506,8H 23M 10.4789999999994S,13.4833,4.497666,3.008,2.3206,1.5251322,13.457221,13.4812,38.3626,28.8998,4.8006,208.371,0,30190.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
14.591,8H 23M 11.4789999999994S,13.4818,4.497472,3.01,2.3499,1.5249796,13.457221,13.4797,38.3622,28.8999,4.8022,208.441,0,30191.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
