pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
1.799,11H 41M 4.47899999999936S,13.592,4.50892,3.0023,0.8311,1.5214692,13.594048,13.5917,38.3665,28.8794,4.7626,206.728,0,42064.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
2.047,11H 41M 5.47899999999936S,13.5686,4.506304,3.0031,0.8389,1.5217745,13.575581,13.5683,38.3649,28.8831,4.7663,206.889,0,42065.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
1.993,11H 41M 6.47899999999936S,13.5732,4.50721,3.0019,0.8594,1.521978,13.567373,13.5729,38.3689,28.8853,4.7588,206.559,0,42066.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
1.724,11H 41M 7.47899999999936S,13.6029,4.510316,3.0004,0.8426,1.5212657,13.585157,13.6026,38.3689,28.8789,4.7582,206.537,0,42067.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
1.753,11H 41M 8.47899999999936S,13.5935,4.509024,3.0023,0.8035,1.5214184,13.589261,13.5932,38.366,28.8787,4.765,206.831,0,42068.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
1.931,11H 41M 9.47899999999936S,13.5811,4.507541,3.0016,0.8044,1.5219271,13.579001,13.5808,38.3642,28.8799,4.7591,206.575,0,42069.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
1.93,11H 41M 10.4789999999994S,13.5748,4.507223,3.0002,0.8337,1.5215201,13.572845,13.5745,38.3675,28.8838,4.7538,206.346,0,42070.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
1.836,11H 41M 11.4789999999994S,13.5707,4.506777,2.9979,0.8255,1.5215201,13.583789,13.5704,38.3675,28.8847,4.7531,206.313,0,42071.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
1.853,11H 41M 12.4789999999994S,13.5695,4.506636,2.9987,0.8544,1.5217236,13.588577,13.5692,38.3673,28.8848,4.7622,206.711,0,42072.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
1.853,11H 41M 13.4789999999994S,13.5756,4.507435,3.0007,0.8418,1.5216728,13.585157,13.5753,38.3687,28.8846,4.7673,206.932,0,42073.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
1.873,11H 41M 14.4789999999994S,13.5807,4.507801,3.0028,0.8318,1.5217745,13.587893,13.5804,38.3671,28.8823,4.7697,207.034,0,42074.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
1.889,11H 41M 15.4789999999994S,13.5863,4.508547,3.0037,0.8192,1.5216219,13.591312,13.586,38.3686,28.8822,4.7667,206.905,0,42075.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
1.869,11H 41M 16.4789999999994S,13.5815,4.507859,3.0036,0.815,1.5212657,13.597468,13.5812,38.3669,28.8819,4.767,206.916,0,42076.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
1.845,11H 41M 17.4789999999994S,13.5829,4.508241,3.004,0.7909,1.5217236,13.598152,13.5826,38.3692,28.8834,4.7696,207.032,0,42077.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
1.856,11H 41M 18.4789999999994S,13.5794,4.507635,3.0054,0.8016,1.521571,13.598836,13.5791,38.3669,28.8824,4.7754,207.281,0,42078.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
1.858,11H 41M 19.4789999999994S,13.5708,4.506933,3.0072,0.7872,1.5216219,13.597468,13.5705,38.3688,28.8857,4.7771,207.357,0,42079.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
1.763,11H 41M 20.4789999999994S,13.5869,4.508488,3.0068,0.7773,1.5212149,13.598836,13.5866,38.3675,28.8812,4.7696,207.03,0,42080.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
1.866,11H 41M 21.4789999999994S,13.5738,4.50706,3.0058,0.7686,1.5217236,13.598836,13.5735,38.367,28.8836,4.7713,207.104,0,42081.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
1.989,11H 41M 22.4789999999994S,13.5588,4.505434,3.0068,0.811,1.5211131,13.606359,13.5585,38.3665,28.8864,4.7799,207.477,0,42082.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
1.952,11H 41M 23.4789999999994S,13.5672,4.506628,3.0082,0.8699,1.5209096,13.603623,13.5669,38.3695,28.887,4.7766,207.335,0,42083.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
1.799,11H 41M 24.4789999999994S,13.5892,4.508827,3.0067,0.8449,1.5210114,13.605675,13.5889,38.3684,28.8815,4.7666,206.901,0,42084.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
1.757,11H 41M 25.4789999999994S,13.607,4.510685,3.0053,0.8354,1.5213166,13.602255,13.6067,38.3683,28.8776,4.7676,206.944,0,42085.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
1.815,11H 41M 26.4789999999994S,13.6057,4.510351,3.0066,0.8198,1.5213675,13.612514,13.6054,38.3663,28.8764,4.7711,207.095,0,42086.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
1.922,11H 41M 27.4789999999994S,13.5998,4.509939,3.0059,0.8066,1.5212149,13.609778,13.5995,38.3683,28.8791,4.7687,206.992,0,42087.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
1.993,11H 41M 28.4789999999994S,13.5881,4.508726,3.0066,0.7819,1.5214184,13.604991,13.5878,38.3684,28.8817,4.7747,207.252,0,42088.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
1.86,11H 41M 29.4789999999994S,13.5823,4.508042,3.0079,0.8238,1.521571,13.601572,13.582,38.3678,28.8825,4.7789,207.433,0,42089.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
1.707,11H 41M 30.4789999999994S,13.5955,4.509555,3.0086,0.8776,1.5211131,13.613881,13.5952,38.3691,28.8806,4.7746,207.25,0,42090.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
1.857,11H 41M 31.4789999999994S,13.572,4.506847,3.0078,0.8456,1.5211131,13.615249,13.5717,38.3668,28.8838,4.7729,207.171,0,42091.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
2.027,11H 41M 32.4789999999994S,13.5664,4.50625,3.0069,0.8199,1.521571,13.604307,13.566,38.3667,28.885,4.7707,207.078,0,42092.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
1.909,11H 41M 33.4789999999994S,13.5706,4.506819,3.0052,0.8206,1.5215201,13.598836,13.5703,38.3679,28.8851,4.7671,206.923,0,42093.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
1.688,11H 41M 34.4789999999994S,13.5902,4.50903,3.0045,0.8246,1.5215201,13.610462,13.5899,38.3694,28.882,4.7656,206.857,0,42094.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
1.642,11H 41M 35.4789999999994S,13.594,4.50909,3.0044,0.8036,1.5209605,13.615249,13.5938,38.3661,28.8787,4.7674,206.938,0,42095.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
1.987,11H 41M 36.4789999999994S,13.5626,4.505802,3.0052,0.791,1.5216219,13.602255,13.5623,38.3662,28.8854,4.7756,207.29,0,42096.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
2.152,11H 41M 37.4789999999994S,13.548,4.504464,3.0064,0.8332,1.5217236,13.59952,13.5477,38.368,28.89,4.7759,207.302,0,42097.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
1.804,11H 41M 38.4789999999994S,13.5887,4.50912,3.0055,0.8553,1.5210622,13.607043000000001,13.5884,38.3717,28.8841,4.7646,206.811,0,42098.479,NA,Mar,03,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
