temp,salinity_real
14.11246551724138,38.23901749046839
14.39091826923077,38.17746277595062
14.787239285714286,38.06654143235027
14.933439130434785,38.025595976716076
14.940176086956523,38.02582341576381
14.95510625,38.024479552188446
14.969704166666666,38.022272364265845
14.992854347826086,38.01908241844266
14.988664758064516,38.01816294053233
14.29953717948718,38.536419227197044
13.6,38.71974334137624
13.6,38.724337877123624
13.6,38.728936309276285
13.692833333333333,38.23583933220977
13.62995,38.20529486542474
13.6194,38.20008614784198
13.631686904761905,38.200524929938204
13.6548,38.202328346198975
13.382179411764708,38.45763361898731
13.567945555555555,38.4361337673461
13.54670244844761,38.41418215183104
13.521272678346502,38.402227310191485
13.480392860215053,38.38346644628046
13.434801039636126,38.36353421616445
13.418075541002278,38.2717157468936
13.410843737108257,38.31518074160868
13.428216441441442,38.24477127676133
13.464470003014773,38.46075647845381
13.435444047619047,38.44020828030637
13.434677026143792,38.4246223984001
13.451666531165312,38.4183459856449
13.422739197324415,38.39827843077053
13.413548791325658,38.381473064661954
13.416726103252573,38.37241224149635
13.44499216770386,38.36749149035582
13.499214382693868,38.36406904850434
13.464470003014773,38.46075647845381
13.435444047619047,38.44020828030637
13.434677026143792,38.4246223984001
13.451666531165312,38.4183459856449
13.422739197324415,38.39827843077053
13.413548791325658,38.381473064661954
13.416726103252573,38.37241224149635
13.44499216770386,38.36749149035582
13.499214382693868,38.36406904850434
13.659566666666668,38.54204713486636
13.58275,38.50256230282858
13.493195,38.4598375067159
13.486,38.441632262614576
13.55265,38.42626909564473
13.834308333333333,38.40815377773813
15.627686666666666,38.24450008553504
15.968208823529412,38.22433531781974
16.07978888888889,38.21897106432827
13.592504166666666,38.48787945511399
13.6171,38.480641763842286
13.620188059701492,38.45979749509737
13.65625,38.441690916543656
13.7708,38.42281967604782
14.045947727272727,38.39594300967842
14.784116000000001,38.37570971378668
18.943826530612245,38.280218279962156
22.921401515151512,38.32749064867346
13.6,38.71515269917529
13.6231,38.49270537635535
13.639876829268292,38.483854864675955
13.651367720959596,38.46513818483913
13.711414881118882,38.45411009748399
13.91169849843175,38.440019468150304
14.430031818181817,38.417788945238435
18.762367857142856,38.39717542068527
23.970369811630142,38.42261318493111
13.724,38.53782328747463
13.7066,38.5299876157668
13.688165150438286,38.507813537224045
13.684569444444445,38.485624573631995
13.810850020793726,38.46179899958775
14.475300679012346,38.445587044517026
16.633627118644068,38.41816697086462
23.576733378317588,38.47220448955745
23.66469931264729,38.45777197934886
13.708428867924528,38.46401334650747
13.727572727272728,38.45329896862315
13.765926152482269,38.437100973027114
13.807447722095672,38.41222981362843
14.14225268053519,38.386975491975676
17.444452791878174,38.4077310324861
18.70275711527035,38.3933694942414
19.32765,38.35554694265735
18.919476470588236,38.36708027455064
