pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,frame,frale_syn,sn,counter,counter_down,v_main,q_asummary,numerici_qa,hex_qa,beta700_wave,chl_lo_gain,chl_5_volt,chl_ltc,chl_raw,chl_micro_l,chl_hi_gain,chl_em_wave,chl_lo_gain_2,chl_5_volt_2,chl_ltc_2,chl_raw_2,chl_micro_l_2,chl_hi_gain_2,chl_em_wave_2,fdom_lo_gain,chl_5_volt_3,date,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,day,month,year
214.123,13H 31M 0.47899999999936S,13.795,4.564335,2.3398,0.1334,1.8003154,13.779326,13.7633,38.5935,29.0186,3.4849,151.246,0,48660.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
213.091,13H 31M 1.47899999999936S,13.7949,4.564035,2.3415,0.1307,1.7992979,13.779326,13.7634,38.5912,29.0168,3.4849,151.245,0,48661.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
211.75,13H 31M 2.47899999999936S,13.7952,4.563986,2.3428,0.131,1.7992979,13.779326,13.7639,38.591,29.0165,3.4851,151.253,0,48662.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
210.743,13H 31M 3.47899999999936S,13.7952,4.563927,2.343,0.1317,1.7984839,13.778643,13.7641,38.5909,29.0164,3.485,151.252,0,48663.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
209.985,13H 31M 4.47899999999936S,13.7949,4.563879,2.3447,0.1352,1.7985857,13.779326,13.7639,38.5911,29.0166,3.4922,151.565,0,48664.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
208.602,13H 31M 5.47899999999936S,13.7956,4.563802,2.3464,0.154,1.7979752,13.780009,13.7647,38.5903,29.0158,3.4909,151.506,0,48665.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
207.026,13H 31M 6.47899999999936S,13.7987,4.563925,2.3462,0.1436,1.7977208,13.778643,13.7681,38.589,29.0141,3.4868,151.332,0,48666.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
206.379,13H 31M 7.47899999999936S,13.7965,4.563754,2.3462,0.1331,1.7971612,13.779326,13.766,38.5899,29.0152,3.4893,151.438,0,48667.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
205.583,13H 31M 8.47899999999936S,13.7973,4.563743,2.3477,0.1387,1.7969577,13.780009,13.7669,38.5894,29.0146,3.4964,151.749,0,48668.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
203.824,13H 31M 9.47899999999936S,13.8018,4.563996,2.3499,0.1467,1.796398,13.779326,13.7716,38.5881,29.0126,3.4966,151.754,0,48669.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
