pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,date
2.067,17H 26M 34.4789999999994S,16.1784,4.767128,3.1057,0.4361,1.4812271,16.121823,16.1781,38.2132,28.1799,4.7221,205.108,0,62794.479,NA,May,14,2021,NA,NA,NA,NA,NA,NA,NA,14 May 2021
2.18,17H 26M 35.4789999999994S,16.1809,4.767357,3.1061,0.4353,1.4808201,16.128615,16.1805,38.2128,28.1791,4.7254,205.254,0,62795.479,NA,May,14,2021,NA,NA,NA,NA,NA,NA,NA,14 May 2021
1.815,17H 26M 36.4789999999994S,16.1827,4.767492,3.1069,0.4276,1.4809728,16.137444,16.1824,38.2124,28.1783,4.7225,205.126,0,62796.479,NA,May,14,2021,NA,NA,NA,NA,NA,NA,NA,14 May 2021
1.442,17H 26M 37.4789999999994S,16.1804,4.767287,3.1055,0.4129,1.4808201,16.136765,16.1802,38.2129,28.1792,4.7206,205.042,0,62797.479,NA,May,14,2021,NA,NA,NA,NA,NA,NA,NA,14 May 2021
1.923,17H 26M 38.4789999999994S,16.1807,4.767345,3.1064,0.4084,1.4810745,16.144915,16.1804,38.213,28.1792,4.7242,205.202,0,62798.479,NA,May,14,2021,NA,NA,NA,NA,NA,NA,NA,14 May 2021
2.496,17H 26M 39.4789999999994S,16.1851,4.767804,3.1059,0.4205,1.480871,16.148311,16.1846,38.2127,28.178,4.7179,204.926,0,62799.479,NA,May,14,2021,NA,NA,NA,NA,NA,NA,NA,14 May 2021
2.388,17H 26M 40.4789999999994S,16.1805,4.767336,3.1038,0.4231,1.4811254,16.14084,16.1801,38.2128,28.1792,4.7169,204.885,0,62800.479,NA,May,14,2021,NA,NA,NA,NA,NA,NA,NA,14 May 2021
2.234,17H 26M 41.4789999999994S,16.1809,4.767379,3.1045,0.4353,1.4810745,16.138803,16.1805,38.213,28.1792,4.7221,205.11,0,62801.479,NA,May,14,2021,NA,NA,NA,NA,NA,NA,NA,14 May 2021
2.8,17H 26M 42.4789999999994S,16.18,4.767255,3.1058,0.4404,1.4808201,16.146273,16.1795,38.2125,28.179,4.7266,205.302,0,62802.479,NA,May,14,2021,NA,NA,NA,NA,NA,NA,NA,14 May 2021
3.92,17H 26M 43.4789999999994S,16.1431,4.763472,3.1069,0.4236,1.4810745,16.149669,16.1425,38.2134,28.1885,4.725,205.235,0,62803.479,NA,May,14,2021,NA,NA,NA,NA,NA,NA,NA,14 May 2021
