pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,date
159.164,9H 59M 1.47899999999936S,13.8667,4.570165,2.6236,0.2069,1.7534087,13.844926,13.8432,38.6013,29.0074,3.99,173.171,0,35941.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
158.309,9H 59M 2.47899999999936S,13.8672,4.570139,2.6241,0.2108,1.7526456,13.844926,13.8438,38.601,29.007,3.9905,173.191,0,35942.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
157.544,9H 59M 3.47899999999936S,13.8681,4.570154,2.626,0.1973,1.7522386,13.845609,13.8448,38.6006,29.0065,3.998,173.517,0,35943.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
156.82,9H 59M 4.47899999999936S,13.8678,4.57001,2.6279,0.1898,1.7517298,13.844926,13.8446,38.5999,29.006,3.9984,173.533,0,35944.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
155.914,9H 59M 5.47899999999936S,13.8666,4.569868,2.629,0.2068,1.7514754,13.846292,13.8435,38.6002,29.0064,4.0011,173.652,0,35945.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
155.161,9H 59M 6.47899999999936S,13.8668,4.569833,2.6305,0.2113,1.7511702,13.845609,13.8438,38.5999,29.0062,4.0031,173.738,0,35946.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
154.427,9H 59M 7.47899999999936S,13.8668,4.569761,2.632,0.2094,1.7506105,13.846292,13.844,38.5995,29.0059,4.0039,173.775,0,35947.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
153.601,9H 59M 8.47899999999936S,13.8666,4.5697,2.6316,0.2159,1.7502035,13.846976,13.8439,38.5995,29.0059,3.9977,173.503,0,35948.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
152.884,9H 59M 9.47899999999936S,13.8672,4.569703,2.6314,0.2053,1.7497965,13.845609,13.8445,38.5994,29.0056,4.0016,173.673,0,35949.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
152.04,9H 59M 10.4789999999994S,13.8675,4.569678,2.6323,0.1991,1.7501526,13.844926,13.845,38.5991,29.0053,3.9998,173.594,0,35950.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
