fluo_flbb,bb700,cdom,echov1,time,date,fluo_440,fluo_470,fluo_532,echo3x
49,50,50,533,15H 46M 36S,12-07-20,50,50,50,536
49,50,50,533,15H 46M 37S,12-07-20,50,50,50,536
49,50,50,533,15H 46M 38S,12-07-20,50,50,50,536
49,50,50,533,15H 46M 39S,12-07-20,50,50,50,536
49,50,50,533,15H 46M 40S,12-07-20,50,50,50,536
49,50,50,533,15H 46M 41S,12-07-20,50,50,50,536
49,50,50,533,15H 46M 42S,12-07-20,50,50,50,536
49,50,50,533,15H 46M 43S,12-07-20,50,50,50,536
49,50,50,533,15H 46M 44S,12-07-20,50,50,50,536
49,50,50,532,15H 46M 45S,12-07-20,50,50,50,536
49,50,50,532,15H 46M 46S,12-07-20,50,50,50,536
49,50,50,532,15H 46M 47S,12-07-20,50,50,50,536
49,50,50,532,15H 46M 48S,12-07-20,50,50,50,536
49,50,50,532,15H 46M 49S,12-07-20,50,50,50,536
49,50,50,532,15H 46M 50S,12-07-20,50,50,50,536
49,50,50,532,15H 46M 51S,12-07-20,50,50,50,535
49,50,50,532,15H 46M 52S,12-07-20,50,50,50,536
49,50,50,532,15H 46M 53S,12-07-20,50,50,50,535
49,50,50,532,15H 46M 54S,12-07-20,50,50,50,535
49,50,50,532,15H 46M 55S,12-07-20,50,50,50,535
49,50,50,532,15H 46M 56S,12-07-20,50,50,50,535
49,50,50,532,15H 46M 57S,12-07-20,50,50,50,535
49,50,50,532,15H 46M 58S,12-07-20,50,50,50,535
49,50,50,532,15H 46M 59S,12-07-20,50,50,50,535
49,50,50,532,15H 47M 0S,12-07-20,50,50,50,535
49,50,50,532,15H 47M 1S,12-07-20,50,50,50,535
49,50,50,532,15H 47M 2S,12-07-20,50,50,50,535
49,50,50,532,15H 47M 3S,12-07-20,50,50,50,535
49,50,50,531,15H 47M 5S,12-07-20,50,50,50,535
49,50,50,531,15H 47M 6S,12-07-20,50,50,50,535
49,50,50,531,15H 47M 7S,12-07-20,50,50,50,535
49,50,50,531,15H 47M 8S,12-07-20,50,50,50,534
49,50,50,531,15H 47M 9S,12-07-20,50,50,50,535
49,50,50,531,15H 47M 10S,12-07-20,50,50,50,535
49,50,50,531,15H 47M 11S,12-07-20,50,50,50,535
49,50,50,531,15H 47M 12S,12-07-20,50,50,50,535
49,50,50,531,15H 47M 13S,12-07-20,50,50,50,534
49,50,50,531,15H 47M 14S,12-07-20,50,50,50,534
49,50,50,531,15H 47M 15S,12-07-20,50,50,50,535
49,50,50,531,15H 47M 16S,12-07-20,50,50,50,534
49,50,50,531,15H 47M 17S,12-07-20,50,50,50,534
49,50,50,531,15H 47M 18S,12-07-20,50,50,50,534
49,50,50,531,15H 47M 19S,12-07-20,50,50,50,534
49,50,50,531,15H 47M 20S,12-07-20,50,50,50,534
49,50,50,531,15H 47M 21S,12-07-20,50,50,50,534
49,50,50,531,15H 47M 22S,12-07-20,50,50,50,534
49,50,50,530,15H 47M 23S,12-07-20,50,50,50,534
49,50,50,530,15H 47M 24S,12-07-20,50,50,50,534
49,50,50,531,15H 47M 25S,12-07-20,50,50,50,534
49,50,50,530,15H 47M 26S,12-07-20,50,50,50,534
49,50,50,530,15H 47M 27S,12-07-20,50,50,50,534
51,56,50,530,15H 47M 28S,12-07-20,50,50,50,534
48,53,50,530,15H 47M 29S,12-07-20,50,50,50,534
54,50,50,530,15H 47M 30S,12-07-20,50,50,50,534
48,49,50,530,15H 47M 31S,12-07-20,50,50,50,534
49,50,50,530,15H 47M 32S,12-07-20,50,50,50,534
49,50,50,530,15H 47M 33S,12-07-20,50,50,50,534
49,50,50,530,15H 47M 34S,12-07-20,50,50,50,534
49,50,50,530,15H 47M 35S,12-07-20,50,50,50,534
49,50,50,530,15H 47M 36S,12-07-20,50,50,50,533
49,50,50,530,15H 47M 37S,12-07-20,50,50,50,534
49,50,50,530,15H 47M 38S,12-07-20,50,50,50,534
49,50,50,530,15H 47M 39S,12-07-20,50,50,50,534
81,330,37,530,15H 47M 40S,12-07-20,50,50,50,533
30,191,46,530,15H 47M 41S,12-07-20,124,49,61,533
51,141,51,530,15H 47M 43S,12-07-20,72,109,112,533
112,162,49,530,15H 47M 44S,12-07-20,28,46,70,533
51,134,50,530,15H 47M 45S,12-07-20,54,49,51,533
51,171,50,529,15H 47M 46S,12-07-20,56,47,50,533
50,318,50,529,15H 47M 47S,12-07-20,57,43,77,533
52,197,50,529,15H 47M 48S,12-07-20,64,126,154,533
70,395,50,529,15H 47M 49S,12-07-20,30,83,90,533
49,224,50,530,15H 47M 50S,12-07-20,45,48,58,533
49,261,50,530,15H 47M 51S,12-07-20,35,50,50,533
60,431,50,529,15H 47M 52S,12-07-20,45,68,54,533
52,376,50,529,15H 47M 53S,12-07-20,54,56,64,533
69,197,50,529,15H 47M 54S,12-07-20,49,71,66,533
50,197,50,529,15H 47M 55S,12-07-20,60,75,68,533
44,1233,50,529,15H 47M 56S,12-07-20,48,51,55,533
52,306,50,529,15H 47M 57S,12-07-20,51,52,54,533
51,174,50,529,15H 47M 58S,12-07-20,43,52,56,533
66,428,50,529,15H 47M 59S,12-07-20,49,53,54,533
50,296,50,529,15H 48M 0S,12-07-20,53,54,48,533
55,164,50,529,15H 48M 1S,12-07-20,57,55,53,533
51,328,50,529,15H 48M 2S,12-07-20,52,53,53,533
52,2133,50,529,15H 48M 3S,12-07-20,48,55,55,533
53,2074,50,529,15H 48M 4S,12-07-20,57,53,50,533
51,702,50,529,15H 48M 5S,12-07-20,48,59,57,532
50,151,50,529,15H 48M 6S,12-07-20,50,56,56,532
50,139,50,529,15H 48M 7S,12-07-20,49,56,55,532
52,135,50,529,15H 48M 8S,12-07-20,50,55,58,532
51,222,50,529,15H 48M 9S,12-07-20,51,52,53,532
52,148,50,529,15H 48M 10S,12-07-20,50,57,50,532
50,132,50,529,15H 48M 11S,12-07-20,52,54,54,532
54,154,50,529,15H 48M 12S,12-07-20,50,58,51,532
54,126,50,528,15H 48M 13S,12-07-20,54,59,50,532
54,143,50,528,15H 48M 14S,12-07-20,52,57,55,532
54,127,51,528,15H 48M 15S,12-07-20,52,57,56,532
56,141,51,528,15H 48M 16S,12-07-20,51,59,59,532
55,135,50,528,15H 48M 17S,12-07-20,53,60,57,532
53,140,50,528,15H 48M 18S,12-07-20,55,59,54,532
54,141,50,528,15H 48M 19S,12-07-20,56,60,56,532
54,141,54,528,15H 48M 21S,12-07-20,60,58,54,532
57,154,52,528,15H 48M 22S,12-07-20,60,58,52,532
60,153,50,528,15H 48M 23S,12-07-20,65,62,52,532
64,150,55,528,15H 48M 24S,12-07-20,64,63,57,532
62,148,54,528,15H 48M 25S,12-07-20,62,63,53,532
62,154,50,528,15H 48M 26S,12-07-20,64,64,50,532
61,162,49,528,15H 48M 27S,12-07-20,65,70,53,532
66,158,53,528,15H 48M 28S,12-07-20,64,71,55,532
69,158,55,528,15H 48M 29S,12-07-20,62,71,54,532
71,170,54,528,15H 48M 30S,12-07-20,68,75,55,532
69,162,54,528,15H 48M 31S,12-07-20,68,76,54,532
71,171,50,528,15H 48M 32S,12-07-20,71,78,52,532
74,170,51,528,15H 48M 33S,12-07-20,77,79,55,532
76,168,51,528,15H 48M 34S,12-07-20,76,82,51,532
78,167,54,528,15H 48M 35S,12-07-20,78,79,52,532
77,169,53,528,15H 48M 36S,12-07-20,77,82,52,532
72,166,53,528,15H 48M 37S,12-07-20,78,83,52,532
75,166,52,528,15H 48M 38S,12-07-20,77,82,52,532
78,169,52,528,15H 48M 39S,12-07-20,79,84,54,532
79,168,53,528,15H 48M 40S,12-07-20,76,83,54,532
78,171,55,528,15H 48M 41S,12-07-20,79,82,52,532
79,169,54,528,15H 48M 42S,12-07-20,74,86,53,532
81,174,53,528,15H 48M 43S,12-07-20,82,87,54,532
81,170,56,528,15H 48M 44S,12-07-20,78,85,55,532
79,165,55,528,15H 48M 45S,12-07-20,75,86,55,532
82,167,57,528,15H 48M 46S,12-07-20,75,86,56,532
81,166,53,528,15H 48M 47S,12-07-20,76,86,58,532
82,168,54,528,15H 48M 48S,12-07-20,72,85,58,532
82,174,55,528,15H 48M 49S,12-07-20,74,85,56,532
82,170,56,528,15H 48M 50S,12-07-20,77,83,59,532
83,170,54,528,15H 48M 51S,12-07-20,73,85,57,532
83,177,54,528,15H 48M 52S,12-07-20,75,88,55,532
81,174,54,528,15H 48M 53S,12-07-20,72,87,56,532
81,173,56,528,15H 48M 54S,12-07-20,71,86,57,532
78,168,54,528,15H 48M 55S,12-07-20,70,84,55,532
76,171,56,528,15H 48M 56S,12-07-20,67,80,57,532
76,169,56,528,15H 48M 58S,12-07-20,67,79,56,532
73,185,55,528,15H 48M 59S,12-07-20,63,74,57,532
70,170,55,528,15H 49M 0S,12-07-20,60,71,54,532
64,162,55,528,15H 49M 1S,12-07-20,61,74,53,532
70,163,55,528,15H 49M 2S,12-07-20,64,73,54,532
69,162,51,528,15H 49M 3S,12-07-20,57,66,54,532
64,156,54,528,15H 49M 4S,12-07-20,56,69,54,532
60,154,56,528,15H 49M 5S,12-07-20,55,65,54,532
61,150,53,528,15H 49M 6S,12-07-20,57,66,51,532
60,153,51,528,15H 49M 7S,12-07-20,57,63,55,532
59,150,50,528,15H 49M 8S,12-07-20,54,64,57,532
58,148,52,528,15H 49M 9S,12-07-20,52,61,56,532
58,151,55,528,15H 49M 10S,12-07-20,53,64,54,532
58,142,59,528,15H 49M 11S,12-07-20,54,59,54,532
56,146,51,528,15H 49M 12S,12-07-20,51,52,57,532
54,129,54,528,15H 49M 13S,12-07-20,55,54,55,532
55,129,56,528,15H 49M 14S,12-07-20,55,56,54,532
57,132,52,528,15H 49M 15S,12-07-20,50,52,57,532
54,155,52,528,15H 49M 16S,12-07-20,52,54,54,532
55,144,50,528,15H 49M 17S,12-07-20,52,52,54,532
52,128,50,528,15H 49M 18S,12-07-20,50,55,59,532
52,130,50,528,15H 49M 19S,12-07-20,46,56,54,532
54,127,50,528,15H 49M 20S,12-07-20,48,54,56,532
52,124,50,528,15H 49M 21S,12-07-20,47,53,54,532
53,127,50,528,15H 49M 22S,12-07-20,50,54,52,532
51,134,50,528,15H 49M 23S,12-07-20,48,54,50,532
50,135,50,528,15H 49M 24S,12-07-20,49,57,56,532
