fluo_flbb,bb700,cdom,echov1,time,date,fluo_440,fluo_470,fluo_532,echo3x
49,50,50,520,13H 0M 1S,12-07-20,50,50,50,525
49,50,50,520,13H 0M 2S,12-07-20,50,50,50,525
49,50,50,520,13H 0M 3S,12-07-20,50,50,50,525
49,50,50,520,13H 0M 4S,12-07-20,50,50,50,525
49,50,50,520,13H 0M 5S,12-07-20,50,50,50,525
49,50,50,520,13H 0M 6S,12-07-20,50,50,50,525
49,50,50,520,13H 0M 7S,12-07-20,50,50,50,524
49,50,50,520,13H 0M 8S,12-07-20,50,50,50,525
49,50,50,520,13H 0M 9S,12-07-20,50,50,50,524
49,50,50,520,13H 0M 10S,12-07-20,50,50,50,524
49,50,50,520,13H 0M 11S,12-07-20,50,50,50,524
49,50,50,520,13H 0M 12S,12-07-20,50,50,50,524
49,50,50,520,13H 0M 13S,12-07-20,50,50,50,524
49,50,50,520,13H 0M 14S,12-07-20,50,50,50,524
49,50,50,520,13H 0M 15S,12-07-20,50,50,50,524
49,50,50,520,13H 0M 16S,12-07-20,50,50,50,524
49,50,50,520,13H 0M 17S,12-07-20,50,50,50,524
49,50,50,520,13H 0M 18S,12-07-20,50,50,50,524
49,50,50,520,13H 0M 19S,12-07-20,50,50,50,524
49,50,50,520,13H 0M 20S,12-07-20,50,50,50,524
49,50,50,520,13H 0M 21S,12-07-20,50,50,50,524
49,50,50,520,13H 0M 22S,12-07-20,50,50,50,524
49,50,50,520,13H 0M 23S,12-07-20,50,50,50,524
49,50,50,520,13H 0M 24S,12-07-20,50,50,50,524
50,53,50,520,13H 0M 25S,12-07-20,50,50,50,524
46,31,50,520,13H 0M 26S,12-07-20,50,50,50,524
89,46,50,520,13H 0M 27S,12-07-20,50,50,50,524
40,-87,50,520,13H 0M 28S,12-07-20,50,50,50,524
117,800,16,520,13H 0M 29S,12-07-20,114,90,43,524
50,146,117,519,13H 0M 30S,12-07-20,159,57,-35,524
71,89,54,520,13H 0M 31S,12-07-20,33,34,59,524
39,134,50,520,13H 0M 32S,12-07-20,53,50,22,524
46,136,50,519,13H 0M 33S,12-07-20,-18,50,62,524
49,134,50,519,13H 0M 34S,12-07-20,44,50,39,524
50,126,50,519,13H 0M 35S,12-07-20,57,52,50,524
51,123,52,520,13H 0M 37S,12-07-20,53,56,51,524
50,136,58,519,13H 0M 38S,12-07-20,38,60,61,524
50,135,59,519,13H 0M 39S,12-07-20,45,52,54,524
51,135,39,520,13H 0M 40S,12-07-20,53,56,37,524
49,131,57,520,13H 0M 41S,12-07-20,40,50,73,524
49,128,78,519,13H 0M 42S,12-07-20,47,53,50,524
48,124,56,519,13H 0M 43S,12-07-20,47,58,45,524
48,133,52,519,13H 0M 44S,12-07-20,58,55,57,524
50,127,64,519,13H 0M 45S,12-07-20,43,67,70,524
50,124,7,519,13H 0M 46S,12-07-20,48,60,64,524
49,131,37,519,13H 0M 47S,12-07-20,50,54,61,524
49,136,55,519,13H 0M 48S,12-07-20,46,53,42,524
50,149,37,519,13H 0M 49S,12-07-20,55,55,56,524
48,124,45,519,13H 0M 50S,12-07-20,54,54,52,524
50,129,57,519,13H 0M 51S,12-07-20,51,52,50,524
50,127,37,519,13H 0M 52S,12-07-20,57,54,53,524
49,123,63,519,13H 0M 53S,12-07-20,46,55,53,524
49,123,80,519,13H 0M 54S,12-07-20,49,54,55,524
49,124,65,519,13H 0M 55S,12-07-20,47,54,57,524
49,137,61,519,13H 0M 56S,12-07-20,49,54,57,524
46,121,59,519,13H 0M 57S,12-07-20,50,54,56,524
49,123,47,519,13H 0M 58S,12-07-20,51,55,50,524
50,129,45,519,13H 0M 59S,12-07-20,50,55,50,524
51,327,62,519,13H 1M 0S,12-07-20,50,55,50,524
54,1796,74,519,13H 1M 1S,12-07-20,50,57,52,524
50,356,53,519,13H 1M 2S,12-07-20,49,51,55,524
49,189,47,519,13H 1M 3S,12-07-20,51,50,53,524
54,140,51,519,13H 1M 4S,12-07-20,52,56,53,524
52,128,51,519,13H 1M 5S,12-07-20,54,57,53,524
51,124,52,519,13H 1M 6S,12-07-20,54,56,53,524
53,138,51,519,13H 1M 7S,12-07-20,53,55,53,524
54,133,52,519,13H 1M 8S,12-07-20,52,53,51,524
55,125,51,519,13H 1M 9S,12-07-20,50,56,53,524
54,130,54,519,13H 1M 10S,12-07-20,56,57,52,524
55,183,50,519,13H 1M 11S,12-07-20,54,59,55,524
54,168,52,519,13H 1M 12S,12-07-20,53,57,55,524
53,296,55,519,13H 1M 13S,12-07-20,55,58,56,524
50,135,53,519,13H 1M 15S,12-07-20,55,62,54,524
51,138,52,519,13H 1M 16S,12-07-20,55,61,53,524
53,131,55,519,13H 1M 17S,12-07-20,55,62,55,524
55,135,54,519,13H 1M 18S,12-07-20,58,64,54,524
54,141,57,519,13H 1M 19S,12-07-20,57,61,53,524
54,151,55,519,13H 1M 20S,12-07-20,57,63,56,524
54,134,55,519,13H 1M 21S,12-07-20,56,64,55,524
55,145,55,519,13H 1M 22S,12-07-20,59,64,53,524
58,148,54,519,13H 1M 23S,12-07-20,60,64,53,524
59,154,55,519,13H 1M 24S,12-07-20,58,63,57,524
57,153,53,519,13H 1M 25S,12-07-20,59,66,56,524
59,154,53,519,13H 1M 26S,12-07-20,60,64,54,524
60,145,55,519,13H 1M 27S,12-07-20,59,65,56,524
58,150,56,519,13H 1M 28S,12-07-20,60,64,53,524
59,154,53,519,13H 1M 29S,12-07-20,63,67,54,524
59,147,54,519,13H 1M 30S,12-07-20,61,66,55,524
60,150,56,520,13H 1M 31S,12-07-20,64,70,55,524
65,163,54,519,13H 1M 32S,12-07-20,66,69,54,524
64,160,53,519,13H 1M 33S,12-07-20,68,69,53,524
67,161,52,519,13H 1M 34S,12-07-20,67,66,55,524
73,159,54,520,13H 1M 35S,12-07-20,67,73,56,524
76,161,55,519,13H 1M 36S,12-07-20,67,73,56,524
74,162,55,519,13H 1M 37S,12-07-20,65,75,58,524
77,159,58,519,13H 1M 38S,12-07-20,70,72,56,524
80,163,56,520,13H 1M 39S,12-07-20,71,79,58,524
77,162,56,519,13H 1M 40S,12-07-20,69,83,58,524
78,165,56,519,13H 1M 41S,12-07-20,70,81,57,524
79,160,56,520,13H 1M 42S,12-07-20,69,83,56,524
82,161,54,520,13H 1M 43S,12-07-20,76,88,58,525
76,163,57,520,13H 1M 44S,12-07-20,73,85,58,524
76,164,56,520,13H 1M 45S,12-07-20,75,86,56,524
79,161,56,520,13H 1M 46S,12-07-20,71,85,55,524
80,163,56,520,13H 1M 47S,12-07-20,76,87,55,525
76,166,55,520,13H 1M 48S,12-07-20,71,85,54,525
77,162,57,520,13H 1M 49S,12-07-20,74,85,54,525
77,166,54,520,13H 1M 50S,12-07-20,78,90,54,524
