temp,salinity_real,beta90sw,betasw,bsw
14.1124655172414,38.2390174904684,3.90824477085509e-05,5.03859466550386e-05,0.000642542766261394
14.3909182692308,38.1774627759506,3.9045476836828e-05,5.03382829983426e-05,0.000641934939280723
14.7872392857143,38.0665414323503,3.8989347163167e-05,5.02659193950202e-05,0.000641012128200607
14.9334391304348,38.0255959767161,3.89689549911714e-05,5.02396293607313e-05,0.000640676866635061
14.9401760869565,38.0258234157638,3.89684351867235e-05,5.02389592174646e-05,0.000640668320686498
14.95510625,38.0244795521884,3.8966921076862e-05,5.02370071939045e-05,0.000640643427661729
14.9697041666667,38.0222723642658,3.89652667026876e-05,5.02348743385234e-05,0.000640616228593585
14.9928543478261,38.0190824184427,3.89627075378696e-05,5.02315750072492e-05,0.000640574154134644
14.9886647580645,38.0181629405323,3.8962876096956e-05,5.02317923173111e-05,0.000640576925363877
14.2995371794872,38.536419227197,3.91241105088336e-05,5.04396592486867e-05,0.000643227731828123
13.6,38.7197433413762,3.92244990130146e-05,5.05690823046366e-05,0.000644878189027179
13.6,38.7243378771236,3.92254016098838e-05,5.0570245952268e-05,0.000644893028350793
13.6,38.7289363092763,3.92263049172685e-05,5.05714105159113e-05,0.000644907879355777
13.6928333333333,38.2358393322098,3.91204075623752e-05,5.04348853290972e-05,0.000643166852799295
13.62995,38.2052948654247,3.91202682962558e-05,5.04347057841692e-05,0.00064316456316692
13.6194,38.200086147842,3.91202305727797e-05,5.04346571502385e-05,0.000643163942966597
13.6316869047619,38.2005249299382,3.9119161671004e-05,5.04332790986831e-05,0.000643146369474042
13.6548,38.202328346199,3.91173474788326e-05,5.04309402024438e-05,0.000643116542886285
13.3821794117647,38.4576336189873,3.91937040295e-05,5.05293807381385e-05,0.000644371897966751
13.5679455555556,38.4361337673461,3.91717124737814e-05,5.05010287433617e-05,0.000644010341414532
13.5467024484476,38.414182151831,3.91693973511464e-05,5.0498044036609e-05,0.000643972279179709
13.5212726783465,38.4022273101915,3.91694547776908e-05,5.04981180721665e-05,0.000643973223312252
13.4803928602151,38.3834664462805,3.91696455974318e-05,5.04983640811514e-05,0.000643976360522211
13.4348010396361,38.3635342161645,3.91700662979442e-05,5.04989064574563e-05,0.000643983277132784
13.4180755410023,38.2717157468936,3.91535133137764e-05,5.04775659881112e-05,0.000643711134499437
13.4108437371083,38.3151807416087,3.91628037474793e-05,5.04895434185025e-05,0.000643863875725261
13.4282164414414,38.2447712767613,3.91472108693686e-05,5.0469440738892e-05,0.000643607517906787
