bouss,depth,fluo_440,fluo_470,fluo_532,cp,f440_f470,f532_f470,cluster,bb700
225,80,20.648569023569024,26.12878787878788,2.658249158249159,0.0772266666666667,0.7902612673560775,0.7460670296274822,0,657.5536264628979
225,70,21.12335216572505,28.637476459510356,2.9794413057124913,0.08575,0.7376122053069412,0.7629595531150786,0,642.4019481491799
225,60,29.50649350649351,42.46248196248197,4.940836940836941,0.10908,0.6948838631845445,0.8532898351259351,0,803.1842543841294
225,50,37.13333333333333,48.125,4.68840579710145,0.126256666666667,0.7716017316017316,0.7144237405106971,0,1013.0424159155793
225,40,42.07962061087061,51.83703632968339,4.922409776289626,0.129473333333333,0.8117674849936318,0.6963683545334173,0,1073.093133527819
225,30,37.52558257345492,61.626393110435664,5.861195542046605,0.13246,0.6089206373997642,0.6974625395429255,0,1038.2350489376283
225,20,45.88922205563885,54.8762910211561,5.576902025177888,0.149496666666667,0.8362303865971458,0.7452632230958232,0,1164.1820232791113
225,10,43.34700176366843,48.99118165784833,3.925213675213675,0.158706666666667,0.8847919216646266,0.5875526841939109,0,1090.3595249188363
225,5,29.479330560507027,52.918760048080536,5.667966192937125,0.163423333333333,0.5570676738026914,0.7854508566925482,0,1201.6668812673672
226,80,2.8445209409064844,1.3987378083763626,1.0309810671256443,0.0908800000000034,2.0336341263330606,5.405250205086129,0,675.5620137652346
226,40,24.666666666666668,30,3.1666666666666665,0.105830000000003,0.8222222222222223,0.7740740740740741,0,950.4158213970093
226,30,42.166666666666664,63.444444444444436,4.111111111111112,0.129505000000003,0.6646234676007006,0.47518972562755407,0,1188.9761801419866
226,20,92.33333333333333,111,8,0.142160000000003,0.8318318318318317,0.5285285285285285,1,1352.91373329588
226,10,81.39999999999999,94.6814814814815,7.411111111111111,0.145435000000003,0.8597246127366607,0.5740103270223751,1,1504.9542122815308
226,5,54.415305010893235,68.1486928104575,6.4602396514161216,0.153780000000003,0.7984790722580541,0.6951724064438957,1,1398.2743779132222
227,80,44.05462962962963,47.89135802469136,2.8018609295570074,0.090185,0.9198868323365643,0.4290331491433446,0,937.7178142264123
227,70,32.55886243386244,34.6845238095238,3.671957671957672,0.10173,0.9387144137444466,0.7763603658575344,1,948.0445818811263
227,60,30.772528554715688,32.91233407050313,3.305363054619861,0.110825,0.9349846926321403,0.7364816185715682,1,954.3569603003635
227,50,43.61330802852543,46.71972624798712,6.428055347272168,0.10789,0.9335094944055773,1.008975786725495,1,991.9223149638225
227,40,41.326961001961,44.60812657551788,4.2637652035296965,0.108565,0.9264446676996817,0.7009398038632628,1,1058.539887317598
227,30,46.978653930331404,53.58727485092883,5.400013852799231,0.12622,0.8766755551764567,0.7389833070883985,1,1120.109113888827
227,20,59.859657622739014,76.1928142931664,7.494042917324908,0.153855,0.7856338970813908,0.7212794964574272,1,1186.0836455940448
227,10,56.51917067443384,65.44794437653321,6.111386769563565,0.184275,0.8635744210585039,0.6847707248419277,1,1190.8767019525003
227,5,44.619075369075375,50.70283428968875,6.094982551831325,0.184215,0.880011462754645,0.8815392539607887,1,1090.3254114569327
228,80,43.13372891476342,53.494438398782584,6.7375841878330895,0.196622223333333,0.8063217449488178,0.92362780486542,1,939.3357286034401
228,70,63.50575821104125,81.41051282051284,7.412962962962962,0.22536889,0.7800682738733447,0.6677482613936354,1,1125.8541143577525
228,60,59.50597575458125,73.39744384343778,10.369940536687828,0.266835556666667,0.8107363504580886,1.0360882698393379,1,1270.9830490981665
228,50,103.54814987176307,132.246746504509,12.023299641035328,0.321733612083333,0.7829920403238999,0.6667148067136219,1,1358.5390268905946
228,40,137.8740093050835,181.64553942178827,16.91017908498274,0.373148334166667,0.7590277732333106,0.6826921285889028,1,1580.3631482718672
228,30,166.48031189083824,214.07244905365928,18.11920194436393,0.419325834166667,0.7776821007410831,0.6206970966109515,1,1802.1927020282865
228,20,227.79070148425993,294.9087252568144,25.58380993375538,0.443745834166667,0.7724108579218661,0.6361785532709925,1,2208.66799825993
228,10,273.51370679440487,340.83750259016836,30.70084920708786,0.441433334166667,0.8024753869977879,0.6605480885790057,1,2302.577215967439
228,5,244.9809191425858,315.45513673595224,28.10464377978251,0.435308334166667,0.7765951180171905,0.6533440006217188,1,2273.325768932127
228,80,43.13372891476342,53.494438398782584,6.7375841878330895,0.055973335,0.8063217449488178,0.92362780486542,1,939.3357286034401
228,70,63.50575821104125,81.41051282051284,7.412962962962962,0.057918335,0.7800682738733447,0.6677482613936354,1,1125.8541143577525
228,60,59.50597575458125,73.39744384343778,10.369940536687828,0.058368335,0.8107363504580886,1.0360882698393379,1,1270.9830490981665
228,50,103.54814987176307,132.246746504509,12.023299641035328,0.060698335,0.7829920403238999,0.6667148067136219,1,1358.5390268905946
228,40,137.8740093050835,181.64553942178827,16.91017908498274,0.113918335,0.7590277732333106,0.6826921285889028,1,1580.3631482718672
228,30,166.48031189083824,214.07244905365928,18.11920194436393,0.236323335,0.7776821007410831,0.6206970966109515,1,1802.1927020282865
228,20,227.79070148425993,294.9087252568144,25.58380993375538,0.356253335,0.7724108579218661,0.6361785532709925,1,2208.66799825993
228,10,273.51370679440487,340.83750259016836,30.70084920708786,0.531772779833333,0.8024753869977879,0.6605480885790057,1,2302.577215967439
228,5,244.9809191425858,315.45513673595224,28.10464377978251,0.532944446666667,0.7765951180171905,0.6533440006217188,1,2273.325768932127
230,80,9.195906432748536,1.1169590643274863,1.3213213213213233,0.059045,8.23298429319371,8.675062497052032,1,389.1460631284239
