date,bouss,depth,fluo_440,fluo_470,fluo_532,f440_f470,f532_f470,bb700,cdom,chl_c1_c2,chl_c3,peri,but,fuco,neox,prasi,viola,hex,diad,allo,diat,zea,lutein,dv_chlb,chlb,t_chlb,dv_chla,chla,t_chla,sumpig,cp,CA1,CA2,CA3,f532_f440,cluster
2020-12-09,225,20,90.5,106,58.714285714285715,0.8537735849056604,0.5539083557951483,155.28571428571428,94,0.0538,0.0341,0.0059,0.0561,0.0349,0.0023,0.0017,0.0023,0.1098,0.0205,0.0074,0.0021,0.0399,0.0014,0.008,0.0313,0.0393,0.0419,0.3454,0.3873,0.7988,0.149496666666667,-0.878027176929857,0.08093983310942976,-0.8655091269479694,0.648776637726914,1
2020-12-09,225,10,91.29629629629628,98.51851851851852,56.38461538461539,0.9266917293233082,0.572325043377675,157,74.95833333333333,0.0523,0.0321,0.006,0.053900000000000003,0.0342,0.0018,0.0016,0.002,0.1057,0.0233,0.0079,0.0033,0.0391,0.0013,0.0065,0.028,0.0345,0.0405,0.3397,0.3802,0.7792,0.158706666666667,-0.8127705026924408,0.13084061702073874,-0.8452018976781123,0.6176002496489313,1
2020-12-09,225,5,65.45454545454545,103.73563218390804,57.24418604651163,0.6309745656006044,0.5518276106422727,143.90361445783134,56.67469879518072,0.0503,0.0326,0.0053,0.053900000000000003,0.0324,0.002,0.0016,0.0019,0.105,0.0245,0.0085,0.0043,0.0384,0.0015,0.0069,0.0288,0.0357,0.0389,0.3365,0.3754,0.7733,0.163423333333333,-0.8100068345724208,0.13834033150441893,-0.858406019225576,0.8745639534883721,1
2021-01-18,226,80,50.81927710843374,51.48192771084337,53.80722891566265,0.987128481160777,1.0451673297449098,114.9746835443038,58.08860759493671,0.0045,0.0038,7e-4,0.0056,0.0036,0,3e-4,0,0.0113,0.0012,0.0017,0,0.0021,0,0.0013,0.0035,0.0049,0.0027,0.0352,0.0379,0.0776,0.0908800000000034,-0.6799734070474188,-0.29399531699997566,-0.7386957633475341,1.0587956377430061,1
2021-01-18,226,70,55,50,55,1.1,1.1,120,59,9e-4,0.001,0,0.0015,0.0012,0,0,0,0.0034,3e-4,0,0,0,0,0.0013,9e-4,0.0022,7e-4,0.0077,0.0084,0.0189,0.0925800000000034,-1.71837965654155,-1.6169494358423748,0.3055666616248186,1,1
2021-01-18,226,60,59,50,53,1.18,1.06,115,54,0.0036,0.0041,3e-4,0.0062,0.0044,0,4e-4,0,0.0101,0.001,0,0,0.0023,0,0.0023,0.0037,0.0059,0.0033,0.0293,0.0326,0.07089999999999999,0.0932700000000034,-1.2569427426984932,-0.6327622501552049,-0.4256987073227123,0.8983050847457628,1
2021-01-18,226,40,75.5,80,54.5,0.94375,0.68125,137.5,58,0.0357,0.0255,0.0024,0.0383,0.0367,0.0032,0.0063,0.0015,0.0681,0.0083,0.0061,0.0012,0.0242,0.0011,0.0035,0.0311,0.0346,0.0236,0.2619,0.2856,0.5788,0.105830000000003,-0.5854746854094685,0.04660474413262627,-0.7366350553059782,0.7218543046357616,1
2021-01-18,226,30,91,114,57,0.7982456140350878,0.5,149,54,0.059,0.037,0.004,0.0523,0.0509,0.0051,0.0095,0.0026,0.1015,0.0126,0.013,0.0021,0.0345,0.0019,0.0034,0.0451,0.0485,0.0326,0.3874,0.4199,0.8544,0.129505000000003,-0.4838943056117872,0.09145578042462582,-0.7827446234168165,0.6263736263736264,1
2021-01-18,226,20,139,157,60,0.8853503184713376,0.3821656050955414,162,59,0.0954,0.0471,0.0136,0.0688,0.0602,0.0073,0.0136,0.0058,0.1512,0.0255,0.0344,0.0052,0.0458,0.0031,0,0.0729,0.0729,0.0372,0.6103,0.6475,1.2974,0.142160000000003,-0.23203398617115842,0.2192957912273738,-0.9132080196621603,0.4316546762589928,2
2021-01-18,226,10,125.2,138.54444444444445,59.233333333333334,0.903681129200417,0.4275402999438608,172.5625,54.6125,0.0891,0.045,0.0109,0.0687,0.0584,0.007,0.0132,0.0064,0.1455,0.0382,0.0348,0.0101,0.0461,0.0023,0,0.0634,0.0634,0.0379,0.5796,0.6175,1.2566,0.145435000000003,-0.2312423619647308,0.2624017635577863,-0.8571668762027446,0.47310969116080936,2
2021-01-18,226,5,100.17647058823528,117.52941176470588,59.35294117647059,0.8523523523523523,0.505005005005005,170.41176470588235,57.23529411764706,0.0872,0.0446,0.0123,0.0668,0.058,0.0067,0.0127,0.0065,0.1433,0.0435,0.0369,0.0122,0.0455,0.0033,0,0.0584,0.0584,0.0356,0.5802,0.6159,1.2538,0.153780000000003,-0.18122589750884274,0.2878013105430456,-0.803337795354483,0.5924838520258369,2
