bouss,depth,fluo_440,fluo_470,fluo_532,bb700,cp,f440_f470,f532_f470,cluster
225,80,20.648569023569024,26.12878787878788,2.658249158249159,17.957142857142863,0.0772266666666667,0.7902612673560775,0.7460670296274822,0
225,70,21.12335216572505,28.637476459510356,2.9794413057124913,23.17692307692308,0.08575,0.7376122053069412,0.7629595531150786,0
225,60,28.824675324675326,40.90187590187591,4.486291486291486,46.433333333333344,0.10908,0.7047274651614039,0.8043511495266652,0
225,50,37.766666666666666,48.791666666666664,4.855072463768117,48.290476190476205,0.126256666666667,0.7740392826643895,0.7297120013861559,0
225,40,42.07962061087061,51.83703632968339,4.922409776289626,50.52553191489361,0.129473333333333,0.8117674849936318,0.6963683545334173,0
225,30,37.52558257345492,61.626393110435664,5.861195542046605,51.90000000000001,0.13246,0.6089206373997642,0.6974625395429255,0
225,20,45.8336665000833,54.4874021322672,4.632457580733444,67.38571428571427,0.149496666666667,0.8411791479583278,0.6234717432403988,0
225,10,43.34700176366843,48.99118165784833,3.925213675213675,69.1,0.158706666666667,0.8847919216646266,0.5875526841939109,0
225,5,29.479330560507027,52.918760048080536,5.667966192937125,56.00361445783134,0.163423333333333,0.5570676738026914,0.7854508566925482,0
226,80,2.8445209409064796,1.3987378083763626,1.0309810671256443,27.074683544303802,0.0908800000000034,2.0336341263330575,5.405250205086129,0
226,70,4.019124115509654,1.2400076496462036,0.5230445591891366,32.1,0.0925800000000034,3.2412091301665615,3.0932551922681424,0
226,60,5.060875079264422,1.2060875079264424,0.19826675121538725,27.1,0.0932700000000034,4.196109358569924,1.2055146629279085,0
226,50,5.969773832170784,1.2969773832170788,0.05664764320439636,32.1,0.0910950000000034,4.6028357235984325,0.32029552368535325,0
226,40,24.66666666666666,30,3.1666666666666665,49.6,0.105830000000003,0.8222222222222221,0.7740740740740741,0
226,30,42.166666666666664,63.444444444444436,4.111111111111112,61.1,0.129505000000003,0.6646234676007006,0.47518972562755407,0
226,20,91,107.66666666666667,7,74.1,0.142160000000003,0.8452012383900929,0.4767801857585139,1
226,10,81.39999999999999,94.6814814814815,7.411111111111111,84.6625,0.145435000000003,0.8597246127366607,0.5740103270223751,1
226,5,54.415305010893235,68.1486928104575,6.4602396514161216,82.51176470588234,0.153780000000003,0.7984790722580541,0.6951724064438957,1
227,80,44.05462962962962,47.89135802469136,2.8018609295570074,34.725,0.090185,0.9198868323365641,0.4290331491433446,0
227,70,32.55886243386243,34.6845238095238,3.671957671957672,37.419999999999995,0.10173,0.9387144137444464,0.7763603658575344,1
227,60,30.814195221382345,33.64844518161424,3.2498074990643055,43.14878048780489,0.110825,0.9157687689599235,0.7082621955093141,1
227,50,44.07123015873015,47.55144927536232,5.397254229853046,40.62500000000001,0.10789,0.9268115027056523,0.8323587389115195,1
227,40,41.326961001960996,44.60812657551788,4.2637652035296965,55.75384615384616,0.108565,0.9264446676996816,0.7009398038632628,1
227,30,46.9786539303314,53.58727485092883,5.400013852799231,51.50000000000001,0.12622,0.8766755551764566,0.7389833070883985,1
227,20,60.12268518518518,76.87037037037037,7.118055555555556,67.857575757575745,0.153855,0.7821308118525656,0.6790532401830885,1
227,10,56.51917067443383,65.44794437653321,6.111386769563565,65.9,0.184275,0.8635744210585038,0.6847707248419277,1
227,5,44.61907536907537,50.70283428968875,6.094982551831325,48.1,0.184215,0.8800114627546449,0.8815392539607887,1
228,80,40.446391252425734,50.24204331012792,6.645910895578403,80.41632653061225,0.196622223333333,0.805030778759598,0.9700377749382624,1
228,70,63.50575821104123,81.4105128205128,7.412962962962962,92.43333333333337,0.22536889,0.7800682738733448,0.6677482613936357,1
228,60,56.31044198551805,71.8486965667493,6.610102573724865,104.57368421052632,0.266835556666667,0.7837364444489844,0.6746689620961368,1
228,50,96.06342764954083,122.51841317117562,11.071632974368663,119.24864864864864,0.321733612083333,0.7840733907916893,0.6626920235404411,1
228,40,148.80707525873765,196.30459153319885,18.079457014138054,120.490243902439,0.373148334166667,0.758041745720306,0.6753926830484934,1
228,30,158.81920077972708,203.1768650080752,16.913646388808374,167.83684210526314,0.419325834166667,0.7816795518201094,0.6104701283107786,1
228,20,227.7907014842599,294.9087252568144,25.583809933755386,164.2764705882353,0.443745834166667,0.772410857921866,0.6361785532709926,1
228,10,273.51370679440487,340.8375025901683,30.700849207087867,173.47837837837838,0.441433334166667,0.802475386997788,0.6605480885790062,1
228,5,244.9809191425858,315.4551367359522,28.10464377978251,146.81875,0.435308334166667,0.7765951180171907,0.653344000621719,1
228,80,40.446391252425734,50.24204331012792,6.645910895578403,23.1,0.055973335,0.805030778759598,0.9700377749382624,1
228,70,63.50575821104123,81.4105128205128,7.412962962962962,19.689743589743607,0.057918335,0.7800682738733448,0.6677482613936357,1
228,60,56.31044198551805,71.8486965667493,6.610102573724865,15.69375,0.058368335,0.7837364444489844,0.6746689620961368,1
228,50,96.06342764954083,122.51841317117562,11.071632974368663,16.718181818181826,0.060698335,0.7840733907916893,0.6626920235404411,1
228,40,148.80707525873765,196.30459153319885,18.079457014138054,22.511764705882364,0.113918335,0.758041745720306,0.6753926830484934,1
228,30,158.81920077972708,203.1768650080752,16.913646388808374,41.1,0.236323335,0.7816795518201094,0.6104701283107786,1
228,20,227.7907014842599,294.9087252568144,25.583809933755386,136.78085106382974,0.356253335,0.772410857921866,0.6361785532709926,1
228,10,273.51370679440487,340.8375025901683,30.700849207087867,156.98461538461538,0.531772779833333,0.802475386997788,0.6605480885790062,1
