pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,date
391.394,11H 27M 1.47899999999936S,13.5971,4.55481,2.4316,0.1831,1.8144078,13.579685,13.5394,38.6229,29.0893,3.7212,161.492,0,41221.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
390.939,11H 27M 2.47899999999936S,13.5991,4.555064,2.4299,0.1746,1.814306,13.581053,13.5415,38.6235,29.0893,3.7181,161.357,0,41222.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
390.322,11H 27M 3.47899999999936S,13.6014,4.555299,2.4303,0.1844,1.8146113,13.580369,13.5438,38.6237,29.089,3.7241,161.615,0,41223.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
389.608,11H 27M 4.47899999999936S,13.6009,4.555209,2.4309,0.1777,1.8144078,13.568741,13.5435,38.6236,29.089,3.726,161.697,0,41224.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
389.282,11H 27M 5.47899999999936S,13.6,4.555054,2.432,0.1922,1.8146622,13.578317,13.5426,38.6233,29.0889,3.7262,161.709,0,41225.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
389.019,11H 27M 6.47899999999936S,13.5992,4.554966,2.4318,0.189,1.814713,13.580369,13.5418,38.6234,29.0891,3.7245,161.636,0,41226.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
388.2,11H 27M 7.47899999999936S,13.6018,4.555228,2.4323,0.1789,1.8147639,13.581737,13.5445,38.6236,29.0887,3.7261,161.703,0,41227.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
387.572,11H 27M 8.47899999999936S,13.6024,4.555303,2.4322,0.1784,1.814713,13.582421,13.5453,38.624,29.0889,3.7232,161.576,0,41228.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
387.213,11H 27M 9.47899999999936S,13.6026,4.555308,2.4322,0.1947,1.8144587,13.581737,13.5455,38.624,29.0888,3.7234,161.586,0,41229.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
386.517,11H 27M 10.4789999999994S,13.6035,4.555389,2.4314,0.2037,1.8149165,13.582421,13.5466,38.6241,29.0887,3.7158,161.257,0,41230.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
