pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,date
147.366,13H 55M 48.4789999999994S,13.8279,4.568534,2.5548,0.1614,1.7751323,13.827844,13.8061,38.6304,29.0379,3.8377,166.557,0,50148.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
147.857,13H 55M 49.4789999999994S,13.8276,4.568531,2.5534,0.1582,1.7753867,13.828527,13.8058,38.6304,29.038,3.8384,166.584,0,50149.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
148.489,13H 55M 50.4789999999994S,13.8279,4.568586,2.5528,0.1613,1.7758954,13.821011,13.8059,38.6304,29.038,3.8423,166.754,0,50150.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
149.083,13H 55M 51.4789999999994S,13.8281,4.568636,2.5542,0.1644,1.7763024,13.825794,13.806,38.6304,29.0379,3.8482,167.012,0,50151.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
149.556,13H 55M 52.4789999999994S,13.8281,4.568688,2.5555,0.1726,1.7766077,13.83126,13.806,38.6306,29.0381,3.8475,166.98,0,50152.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
150.115,13H 55M 53.4789999999994S,13.8282,4.568744,2.5541,0.1741,1.7771164,13.82716,13.806,38.6308,29.0383,3.8345,166.414,0,50153.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
150.648,13H 55M 54.4789999999994S,13.829,4.568912,2.5505,0.1719,1.7775234,13.829894,13.8068,38.6313,29.0385,3.8306,166.247,0,50154.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
151.167,13H 55M 55.4789999999994S,13.831,4.569234,2.5506,0.1735,1.7776761,13.828527,13.8086,38.6322,29.0388,3.8407,166.683,0,50155.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
151.828,13H 55M 56.4789999999994S,13.8319,4.569461,2.5516,0.1817,1.7778287,13.822377,13.8094,38.6331,29.0394,3.8396,166.637,0,50156.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
152.377,13H 55M 57.4789999999994S,13.8317,4.569499,2.5509,0.1854,1.7780322,13.827844,13.8091,38.6334,29.0397,3.8317,166.295,0,50157.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
152.888,13H 55M 58.4789999999994S,13.8303,4.569396,2.5473,0.1788,1.778083,13.82921,13.8077,38.6336,29.0401,3.8201,165.792,0,50158.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
153.499,13H 55M 59.4789999999994S,13.8299,4.569376,2.5453,0.1714,1.7784392,13.828527,13.8072,38.6336,29.0402,3.8273,166.101,0,50159.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
154.025,13H 56M 0.47899999999936S,13.8294,4.569343,2.5464,0.1527,1.7785409,13.828527,13.8066,38.6335,29.0402,3.8334,166.368,0,50160.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
154.463,13H 56M 1.47899999999936S,13.8287,4.569273,2.5469,0.1637,1.7784901,13.828527,13.8058,38.6334,29.0403,3.8356,166.463,0,50161.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
155.075,13H 56M 2.47899999999936S,13.8286,4.569298,2.5491,0.1791,1.7789988,13.827844,13.8057,38.6334,29.0403,3.8396,166.636,0,50162.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
155.808,13H 56M 3.47899999999936S,13.8287,4.569355,2.5479,0.1733,1.7796093,13.825794,13.8057,38.6335,29.0404,3.8257,166.036,0,50163.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
156.312,13H 56M 4.47899999999936S,13.8297,4.569525,2.5455,0.1715,1.7800672,13.82716,13.8066,38.6339,29.0405,3.8278,166.124,0,50164.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
156.775,13H 56M 5.47899999999936S,13.8323,4.569972,2.5463,0.1782,1.7800163,13.827844,13.8092,38.6353,29.0411,3.8316,166.291,0,50165.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
157.455,13H 56M 6.47899999999936S,13.8275,4.569486,2.5459,0.1729,1.7802707,13.824427,13.8042,38.6353,29.0421,3.8292,166.186,0,50166.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
158.088,13H 56M 7.47899999999936S,13.8238,4.569075,2.545,0.1733,1.7803215,13.826477,13.8004,38.6348,29.0426,3.8242,165.968,0,50167.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
158.516,13H 56M 8.47899999999936S,13.8201,4.568684,2.5428,0.1693,1.7808303,13.82921,13.7967,38.6346,29.0432,3.8221,165.876,0,50168.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
159.026,13H 56M 9.47899999999936S,13.8182,4.568473,2.5433,0.1706,1.7806268,13.826477,13.7947,38.6342,29.0434,3.8306,166.248,0,50169.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
159.735,13H 56M 10.4789999999994S,13.8167,4.568286,2.5443,0.1725,1.7808303,13.816911,13.7931,38.6337,29.0434,3.8316,166.289,0,50170.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
160.29,13H 56M 11.4789999999994S,13.8157,4.568198,2.5443,0.1708,1.7812373,13.821011,13.792,38.6337,29.0435,3.8291,166.179,0,50171.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
160.776,13H 56M 12.4789999999994S,13.8161,4.568355,2.5441,0.1687,1.7815425,13.821011,13.7924,38.6345,29.0441,3.83,166.218,0,50172.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
161.484,13H 56M 13.4789999999994S,13.8186,4.568747,2.5439,0.1667,1.781746,13.812128,13.7947,38.6354,29.0443,3.8249,166.001,0,50173.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
162.1,13H 56M 14.4789999999994S,13.8201,4.568993,2.5414,0.1747,1.7820513,13.812811,13.7962,38.6359,29.0444,3.815,165.567,0,50174.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
162.386,13H 56M 15.4789999999994S,13.8206,4.569069,2.5387,0.1822,1.7818478,13.810761,13.7966,38.636,29.0444,3.8144,165.541,0,50175.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
162.876,13H 56M 16.4789999999994S,13.8212,4.56917,2.5384,0.1808,1.7818478,13.812128,13.7971,38.6361,29.0443,3.821,165.829,0,50176.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
163.687,13H 56M 17.4789999999994S,13.8227,4.569451,2.5395,0.1703,1.7824583,13.812128,13.7985,38.6369,29.0446,3.8223,165.884,0,50177.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
164.339,13H 56M 18.4789999999994S,13.8233,4.569581,2.5391,0.1716,1.7823057,13.812128,13.799,38.6372,29.0448,3.8195,165.764,0,50178.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
164.676,13H 56M 19.4789999999994S,13.8237,4.569673,2.5384,0.1679,1.7828653,13.812811,13.7994,38.6375,29.0449,3.8156,165.594,0,50179.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
165.227,13H 56M 20.4789999999994S,13.8245,4.56982,2.5372,0.1625,1.7831197,13.814861,13.8001,38.6379,29.0451,3.8159,165.607,0,50180.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
165.886,13H 56M 21.4789999999994S,13.8265,4.570112,2.5373,0.1627,1.7832723,13.812811,13.802,38.6384,29.045,3.8163,165.625,0,50181.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
166.399,13H 56M 22.4789999999994S,13.8284,4.570424,2.5366,0.1593,1.7833232,13.822377,13.8038,38.6392,29.0453,3.8139,165.52,0,50182.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
166.927,13H 56M 23.4789999999994S,13.8292,4.570584,2.5357,0.1602,1.7834758,13.825111,13.8045,38.6397,29.0455,3.8115,165.419,0,50183.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
167.646,13H 56M 24.4789999999994S,13.831,4.570887,2.5344,0.1696,1.7836793,13.818278,13.8062,38.6404,29.0456,3.8053,165.146,0,50184.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
168.387,13H 56M 25.4789999999994S,13.832,4.571089,2.5322,0.1724,1.7839337,13.824427,13.8071,38.641,29.0459,3.8024,165.02,0,50185.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
