pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,date
1.969,11H 13M 26.4789999999994S,23.7378,5.62793,3.5046,0.2715,1.3792227,23.705499,23.7374,38.465,26.3461,4.7023,204.614,0,40406.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
1.867,11H 13M 27.4789999999994S,23.7348,5.627564,3.5046,0.2743,1.3787139,23.705499,23.7344,38.4649,26.3469,4.7005,204.537,0,40407.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
2.01,11H 13M 28.4789999999994S,23.7302,5.626985,3.5017,0.2648,1.3793244,23.696469,23.7298,38.4644,26.3478,4.6934,204.225,0,40408.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
2.152,11H 13M 29.4789999999994S,23.725,5.626463,3.4993,0.2662,1.3796805,23.694385,23.7245,38.4648,26.3497,4.6932,204.218,0,40409.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
1.991,11H 13M 30.4789999999994S,23.7275,5.626689,3.501,0.2672,1.3791718,23.698553,23.7271,38.4644,26.3487,4.7046,204.713,0,40410.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
1.87,11H 13M 31.4789999999994S,23.7442,5.628822,3.5061,0.2662,1.37907,23.697164,23.7438,38.4664,26.3452,4.7073,204.832,0,40411.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
2.01,11H 13M 32.4789999999994S,23.7301,5.627108,3.5057,0.2612,1.3790192,23.695774,23.7297,38.4653,26.3486,4.7064,204.792,0,40412.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
2.131,11H 13M 33.4789999999994S,23.7304,5.627088,3.5061,0.2649,1.3791718,23.688135,23.7299,38.4649,26.3482,4.6934,204.225,0,40413.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
1.905,11H 13M 34.4789999999994S,23.7318,5.627215,3.4946,0.2735,1.378663,23.710361,23.7314,38.4647,26.3476,4.6814,203.704,0,40414.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
1.824,11H 13M 35.4789999999994S,23.7355,5.62771,3.5,0.273,1.3788665,23.722865,23.7351,38.4654,26.347,4.7076,204.843,0,40415.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
2.169,11H 13M 36.4789999999994S,23.7312,5.627201,3.5085,0.2759,1.3792735,23.708277,23.7307,38.4651,26.3481,4.7168,205.243,0,40416.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
2.005,11H 13M 37.4789999999994S,23.7326,5.627357,3.5075,0.28,1.3788665,23.715224,23.7322,38.4651,26.3477,4.7027,204.633,0,40417.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
