pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,fluo_flbb,bb700,cdom,echov1,date,fluo_440,fluo_470,fluo_532,echo3x,day,month,year
1.253,12H 46M 40.4789999999994S,23.2094,5.548169,3.5764,0.2023,1.3857346,23.123178,23.2091,38.3065,26.3824,4.8693,211.872,0,46000.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
1.164,12H 46M 41.4789999999994S,23.2309,5.550533,3.5782,0.2077,1.3846663,23.166083,23.2307,38.3062,26.3759,4.8685,211.84,0,46001.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
1.201,12H 46M 42.4789999999994S,23.2631,5.55418,3.5771,0.2168,1.3846663,23.195153,23.2629,38.3066,26.3666,4.8708,211.943,0,46002.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
1.11,12H 46M 43.4789999999994S,23.2703,5.555052,3.5818,0.1859,1.385175,23.175773,23.2701,38.3071,26.3649,4.878,212.254,0,46003.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
0.968,12H 46M 44.4789999999994S,23.2516,5.552993,3.5845,0.2117,1.3848189,23.206228,23.2514,38.3075,26.3707,4.8834,212.49,0,46004.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
1.221,12H 46M 45.4789999999994S,23.2446,5.552306,3.5858,0.2093,1.3854803,23.188231,23.2443,38.3081,26.3733,4.8823,212.441,0,46005.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
1.267,12H 46M 46.4789999999994S,23.2146,5.549397,3.5854,0.1855,1.3857855,23.160546,23.2143,38.3116,26.3847,4.8845,212.533,0,46006.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
1.053,12H 46M 47.4789999999994S,23.2131,5.548918,3.5868,0.1866,1.3859381,23.148781,23.2129,38.3093,26.3834,4.8861,212.605,0,46007.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
1.105,12H 46M 48.4789999999994S,23.217,5.549255,3.5862,0.2035,1.3852259,23.173695,23.2168,38.3084,26.3816,4.884,212.515,0,46008.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
1.166,12H 46M 49.4789999999994S,23.2391,5.551631,3.5853,0.2128,1.385989,23.162622,23.2389,38.3077,26.3746,4.8822,212.437,0,46009.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
1.306,12H 46M 50.4789999999994S,23.2879,5.557196,3.5875,0.2065,1.3847172,23.225614,23.2876,38.3084,26.3607,4.8824,212.449,0,46010.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
1.163,12H 46M 51.4789999999994S,23.2379,5.551661,3.5866,0.2166,1.3850733,23.202075,23.2377,38.309,26.3759,4.8819,212.42,0,46011.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
1.123,12H 46M 52.4789999999994S,23.232,5.550888,3.5865,0.1956,1.384361,23.204151,23.2318,38.3081,26.3769,4.8853,212.571,0,46012.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
1.272,12H 46M 53.4789999999994S,23.2509,5.553166,3.5871,0.1822,1.3849715,23.217305,23.2506,38.3093,26.3723,4.8796,212.324,0,46013.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
1.466,12H 46M 54.4789999999994S,23.2214,5.549822,3.582,0.1928,1.3849207,23.217997,23.2211,38.309,26.3807,4.8728,212.025,0,46014.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
1.758,12H 46M 55.4789999999994S,23.2181,5.549588,3.5831,0.2013,1.3850224,23.215921,23.2177,38.3098,26.3824,4.885,212.559,0,46015.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
2.132,12H 46M 56.4789999999994S,23.2097,5.548638,3.5876,0.1854,1.3857346,23.181308,23.2093,38.3096,26.3847,4.8963,213.049,0,46016.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
2.61,12H 46M 57.4789999999994S,23.2026,5.547885,3.5912,0.1742,1.3854294,23.179924,23.202,38.3098,26.387,4.8969,213.071,0,46017.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
3.213,12H 46M 58.4789999999994S,23.1919,5.546715,3.5895,0.1838,1.3859381,23.159853,23.1912,38.3098,26.3902,4.8881,212.69,0,46018.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
3.631,12H 46M 59.4789999999994S,23.1864,5.546135,3.5859,0.1919,1.3858873,23.139092,23.1856,38.3099,26.3919,4.8878,212.675,0,46019.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
3.723,12H 47M 0.47899999999936S,23.1826,5.545666,3.5897,0.1908,1.3860908,23.149473,23.1818,38.3096,26.3928,4.9019,213.288,0,46020.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
3.987,12H 47M 1.47899999999936S,23.1635,5.543571,3.5925,0.2055,1.3860399,23.142552,23.1626,38.3098,26.3986,4.9084,213.57,0,46021.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
4.668,12H 47M 2.47899999999936S,23.1554,5.54264,3.5977,0.199,1.3865995,23.133557,23.1544,38.3093,26.4006,4.9181,213.992,0,46022.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
5.205,12H 47M 3.47899999999936S,23.1197,5.538638,3.5999,0.1979,1.3859381,23.126637,23.1186,38.3091,26.411,4.9157,213.888,0,46023.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
5.352,12H 47M 4.47899999999936S,23.1094,5.5374,3.5943,0.1947,1.385989,23.114183,23.1083,38.3084,26.4135,4.9003,213.214,0,46024.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
5.823,12H 47M 5.47899999999936S,23.0784,5.533916,3.5917,0.1982,1.3861925,23.105189,23.0772,38.308,26.4223,4.9114,213.695,0,46025.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
6.669,12H 47M 6.47899999999936S,22.9967,5.52455,3.5958,0.1929,1.3864469,23.072678,22.9954,38.3058,26.4447,4.9322,214.599,0,46026.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
7.233,12H 47M 7.47899999999936S,22.867,5.509897,3.6021,0.1849,1.3873118,23.027727,22.8655,38.3044,26.4815,4.9568,215.661,0,46027.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
7.587,12H 47M 8.47899999999936S,22.6662,5.487035,3.6094,0.1873,1.3885836,22.905384,22.6646,38.3007,26.5371,4.9964,217.371,0,46028.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
7.957,12H 47M 9.47899999999936S,22.4993,5.467805,3.6263,0.1876,1.388431,22.80592,22.4977,38.2957,26.5816,5.0425,219.368,0,46029.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
8.343,12H 47M 10.4789999999994S,22.2869,5.443775,3.629,0.19,1.3895503,22.68098,22.2852,38.2924,26.6404,5.0275,218.7,0,46030.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
8.602,12H 47M 11.4789999999994S,22.1241,5.426457,3.621,0.1901,1.3909239,22.50789,22.1224,38.2987,26.6918,5.0709,220.578,0,46031.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
8.769,12H 47M 12.4789999999994S,21.8094,5.389394,3.6499,0.1822,1.3909239,22.319116,21.8077,38.2815,26.7679,5.1491,223.966,0,46032.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
9.042,12H 47M 13.4789999999994S,20.7831,5.274064,3.6605,0.1875,1.3879223,22.209673,20.7814,38.2667,27.0431,5.3359,232.028,0,46033.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
9.551,12H 47M 14.4789999999994S,19.7869,5.161745,3.743,0.1956,1.3979447,21.617061,19.7851,38.2425,27.2937,5.6562,245.896,0,46034.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
10.149,12H 47M 15.4789999999994S,17.8243,4.948373,3.8156,0.2019,1.4039479,20.685808,17.8225,38.2461,27.8049,5.953,258.67,0,46035.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
10.444,12H 47M 16.4789999999994S,17.4546,4.910647,3.8546,0.1937,1.4160053,19.631559,17.4528,38.2658,27.9124,6.0078,261.023,0,46036.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
10.807,12H 47M 17.4789999999994S,17.3269,4.894071,3.8781,0.2082,1.4153439,18.343059,17.325,38.2412,27.9249,6.0404,262.436,0,46037.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
11.42,12H 47M 18.4789999999994S,17.0222,4.862359,3.8949,0.2122,1.399827,17.87657,17.0203,38.2508,28.0069,6.0917,264.642,0,46038.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
11.831,12H 47M 19.4789999999994S,16.7597,4.837291,3.905,0.2061,1.3932133,17.653242,16.7577,38.2789,28.0922,6.1253,266.08,0,46039.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
12.129,12H 47M 20.4789999999994S,16.6556,4.827676,3.9105,0.2057,1.3955027,17.191721,16.6536,38.2929,28.1281,6.1414,266.771,0,46040.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
12.685,12H 47M 21.4789999999994S,16.5798,4.820402,3.9143,0.207,1.3880749,17.080417,16.5777,38.3005,28.1521,6.1426,266.818,0,46041.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
13.066,12H 47M 22.4789999999994S,16.4357,4.806256,3.9078,0.2104,1.3867013,17.032907,16.4336,38.3123,28.1956,6.1262,266.095,0,46042.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
13.288,12H 47M 23.4789999999994S,16.3876,4.801528,3.9003,0.2182,1.3902116,16.777697,16.3854,38.3161,28.2101,6.1323,266.355,0,46043.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
13.856,12H 47M 24.4789999999994S,16.2068,4.782272,3.9006,0.2205,1.3881258,16.617501,16.2045,38.3172,28.2538,6.1669,267.848,0,46044.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
14.553,12H 47M 25.4789999999994S,16.0053,4.762129,3.9013,0.2197,1.3886854,16.549613,16.0029,38.3301,28.3113,6.1786,268.341,0,46045.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
15.007,12H 47M 26.4789999999994S,15.9163,4.753413,3.8918,0.2211,1.3918396,16.419934,15.9139,38.3372,28.3376,6.1555,267.331,0,46046.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
15.371,12H 47M 27.4789999999994S,15.8233,4.743735,3.8842,0.2327,1.3943834,16.148308,15.8209,38.3397,28.3612,6.1661,267.782,0,46047.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
16.106,12H 47M 28.4789999999994S,15.5589,4.715793,3.8809,0.2449,1.3942817,16.031483,15.5564,38.3423,28.4246,6.1983,269.166,0,46048.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
16.991,12H 47M 29.4789999999994S,15.3946,4.699735,3.8789,0.2824,1.3977411,15.823587,15.3919,38.3556,28.4727,6.2186,270.036,0,46049.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
17.372,12H 47M 30.4789999999994S,15.279,4.687505,3.8763,0.2949,1.3999288,15.764468,15.2763,38.3564,28.4998,6.2217,270.161,0,46050.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
17.67,12H 47M 31.4789999999994S,15.223,4.681229,3.8723,0.2971,1.4022182,15.61766,15.2202,38.3536,28.5104,6.2226,270.195,0,46051.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
