pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,fluo_flbb,bb700,cdom,echov1,date,fluo_440,fluo_470,fluo_532,echo3x,day,month,year
49.797,11H 17M 14.4789999999994S,13.669,4.526811,2.9459,1.3665,1.6666667,13.661065,13.6617,38.4377,28.9196,4.6172,200.409,0,40634.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
49.212,11H 17M 15.4789999999994S,13.6729,4.527128,2.9515,1.2706,1.6660053,13.664484,13.6657,38.4371,28.9183,4.6254,200.765,0,40635.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
48.95,11H 17M 16.4789999999994S,13.6769,4.52743,2.9554,1.1788,1.6655983,13.664484,13.6698,38.4361,28.9166,4.6255,200.768,0,40636.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
48.575,11H 17M 17.4789999999994S,13.6786,4.527563,2.9569,1.1492,1.6653439,13.664484,13.6715,38.4358,28.916,4.6275,200.854,0,40637.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
48.278,11H 17M 18.4789999999994S,13.683,4.527946,2.9607,1.1619,1.6635124,13.672005,13.6759,38.4352,28.9146,4.6438,201.565,0,40638.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
47.708,11H 17M 19.4789999999994S,13.6855,4.528126,2.9668,1.1071,1.6619862,13.667219,13.6785,38.4346,28.9136,4.6552,202.058,0,40639.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
46.939,11H 17M 20.4789999999994S,13.6885,4.52834,2.9707,1.054,1.6609687,13.665168,13.6816,38.434,28.9125,4.6542,202.014,0,40640.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
46.698,11H 17M 21.4789999999994S,13.6883,4.528299,2.972,1.036,1.6602056,13.667219,13.6815,38.4339,28.9125,4.6523,201.934,0,40641.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
46.689,11H 17M 22.4789999999994S,13.6875,4.528251,2.9752,1.0426,1.6596968,13.676791,13.6807,38.4343,28.9129,4.6797,203.122,0,40642.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
46,11H 17M 23.4789999999994S,13.6979,4.52922,2.9865,1.0525,1.6583232,13.680209,13.6911,38.4334,28.91,4.7089,204.39,0,40643.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
45.125,11H 17M 24.4789999999994S,13.7053,4.529757,2.9942,1.0676,1.6573057,13.683628,13.6987,38.4314,28.9069,4.7028,204.125,0,40644.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
44.933,11H 17M 25.4789999999994S,13.705,4.529684,2.9951,1.0956,1.6553216,13.682944,13.6984,38.4311,28.9067,4.7024,204.107,0,40645.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
44.93,11H 17M 26.4789999999994S,13.6973,4.529031,3.0031,1.1453,1.6530322,13.683628,13.6907,38.4326,28.9095,4.761,206.651,0,40646.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
44.452,11H 17M 27.4789999999994S,13.7049,4.529775,3.0259,1.1292,1.6514551,13.689781,13.6984,38.4322,28.9075,4.8279,209.554,0,40647.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
43.747,11H 17M 28.4789999999994S,13.7246,4.531437,3.0472,1.1678,1.648606,13.694566,13.7182,38.4286,28.9005,4.8582,210.875,0,40648.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
43.41,11H 17M 29.4789999999994S,13.727,4.531591,3.0673,1.228,1.6475885,13.697985,13.7206,38.4278,28.8994,4.9085,213.055,0,40649.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
43.265,11H 17M 30.4789999999994S,13.7307,4.531979,3.0926,1.2981,1.6451465,13.697985,13.7244,38.4279,28.8986,4.9634,215.439,0,40650.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.761,11H 17M 31.4789999999994S,13.7403,4.532878,3.1163,1.3631,1.6409239,13.713024,13.734,38.427,28.8958,5.0009,217.066,0,40651.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.467,11H 17M 32.4789999999994S,13.7437,4.53309,3.1352,1.4366,1.6337505,13.72738,13.7375,38.4257,28.8941,5.0185,217.833,0,40652.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.204,11H 17M 33.4789999999994S,13.7512,4.533869,3.1486,1.4749,1.6268824,13.725329,13.745,38.4257,28.8925,5.0285,218.267,0,40653.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
41.935,11H 17M 34.4789999999994S,13.7547,4.534168,3.1563,1.5533,1.6201669,13.730114,13.7486,38.4251,28.8913,5.0164,217.744,0,40654.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
41.984,11H 17M 35.4789999999994S,13.7558,4.534248,3.1551,1.6191,1.6144689,13.737633,13.7496,38.4248,28.8908,5.0077,217.366,0,40655.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.187,11H 17M 36.4789999999994S,13.75,4.533734,3.1587,1.7858,1.6086182,13.733532,13.7438,38.4256,28.8927,5.0307,218.36,0,40656.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.133,11H 17M 37.4789999999994S,13.7551,4.534226,3.1653,1.8703,1.6055148,13.737633,13.7489,38.4252,28.8913,5.0407,218.796,0,40657.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.138,11H 17M 38.4789999999994S,13.7573,4.534386,3.1674,1.9101,1.6031746,13.745835,13.7511,38.4245,28.8903,5.0365,218.613,0,40658.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.128,11H 17M 39.4789999999994S,13.7566,4.534342,3.1706,1.8884,1.599766,13.746519,13.7504,38.4248,28.8906,5.0482,219.121,0,40659.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
41.886,11H 17M 40.4789999999994S,13.7588,4.534518,3.1736,1.9503,1.5978327,13.746519,13.7527,38.4244,28.8898,5.044,218.939,0,40660.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42,11H 17M 41.4789999999994S,13.7591,4.5345510000000004,3.1729,1.9923,1.5960012,13.746519,13.753,38.4243,28.8897,5.0444,218.956,0,40661.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.315,11H 17M 42.4789999999994S,13.757,4.534386,3.1762,1.9835,1.5945767,13.745152,13.7508,38.4247,28.8905,5.0585,219.567,0,40662.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.149,11H 17M 43.4789999999994S,13.7574,4.534406,3.1789,1.9991,1.5944241,13.746519,13.7512,38.4246,28.8903,5.0582,219.556,0,40663.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.031,11H 17M 44.4789999999994S,13.7584,4.534474,3.1801,2.0332,1.594068,13.746519,13.7522,38.4243,28.8898,5.057,219.506,0,40664.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.134,11H 17M 45.4789999999994S,13.7589,4.534516,3.1803,2.0524,1.5942206,13.746519,13.7527,38.4241,28.8896,5.0586,219.573,0,40665.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.047,11H 17M 46.4789999999994S,13.7587,4.534519,3.1819,2.058,1.5934575,13.747202,13.7525,38.4244,28.8899,5.0582,219.556,0,40666.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
41.979,11H 17M 47.4789999999994S,13.7603,4.534645,3.1799,2.0646,1.5929487,13.747202,13.7542,38.424,28.8892,5.0464,219.044,0,40667.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.269,11H 17M 48.4789999999994S,13.7586,4.534527,3.178,2.0585,1.592033,13.747202,13.7524,38.4245,28.89,5.051,219.243,0,40668.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.304,11H 17M 49.4789999999994S,13.7577,4.534442,3.1802,2.0638,1.5915751,13.746519,13.7515,38.4246,28.8903,5.067,219.939,0,40669.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.012,11H 17M 50.4789999999994S,13.7594,4.53458,3.1843,2.0805,1.5917786,13.746519,13.7533,38.4243,28.8896,5.0695,220.045,0,40670.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
41.937,11H 17M 51.4789999999994S,13.7605,4.534656,3.1838,2.1039,1.5913207,13.747202,13.7544,38.424,28.8891,5.0579,219.545,0,40671.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.158,11H 17M 52.4789999999994S,13.7592,4.534561,3.1828,2.1033,1.5906593,13.747202,13.753,38.4243,28.8897,5.0591,219.594,0,40672.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.373,11H 17M 53.4789999999994S,13.7576,4.534437,3.1831,2.1047,1.5910664,13.747202,13.7514,38.4246,28.8903,5.0651,219.857,0,40673.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.176,11H 17M 54.4789999999994S,13.7584,4.534502,3.1849,2.1073,1.5913207,13.747203,13.7522,38.4245,28.89,5.0674,219.956,0,40674.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
41.905,11H 17M 55.4789999999994S,13.7598,4.534608,3.1844,2.1042,1.5911172,13.747202,13.7536,38.4243,28.8895,5.0577,219.535,0,40675.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
41.993,11H 17M 56.4789999999994S,13.7593,4.534562,3.1819,2.1217,1.5911681,13.747886,13.7531,38.4242,28.8896,5.0513,219.257,0,40676.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
