SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Mon Aug 26 10:24:53 PDT 2019
User: corrico
Dark Spectrum Present: No
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: USB2+H06089
Integration Time (usec): 10000 (USB2+H06089)
Spectra Averaged: 2 (USB2+H06089)
Boxcar Smoothing: 2 (USB2+H06089)
Correct for Electrical Dark: No (USB2+H06089)
Strobe/Lamp Enabled: No (USB2+H06089)
Correct for Detector Non-linearity: No (USB2+H06089)
Correct for Stray Light: No (USB2+H06089)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
339.70	1019.30
340.07	1019.30
340.45	995.66
340.82	971.56
341.19	945.81
341.57	925.92
341.94	906.49
342.31	906.26
342.69	906.02
343.06	899.70
343.43	893.62
343.81	892.91
344.18	892.45
344.55	903.68
344.93	923.58
345.30	931.07
345.67	940.43
346.04	934.34
346.42	929.19
346.79	933.41
347.16	936.68
347.54	957.05
347.91	974.60
348.28	999.41
348.65	1004.79
349.03	1016.03
349.40	1012.75
349.77	1027.96
350.14	1030.30
350.52	1041.07
350.89	1052.30
351.26	1063.54
351.63	1072.43
352.01	1070.33
352.38	1072.90
352.75	1082.50
353.12	1087.65
353.50	1081.33
353.87	1090.92
354.24	1094.43
354.61	1090.92
354.98	1082.50
355.36	1086.48
355.73	1090.46
356.10	1088.58
356.47	1096.07
356.84	1095.37
357.22	1094.90
357.59	1090.22
357.96	1094.90
358.33	1090.46
358.70	1098.18
359.08	1100.29
359.45	1088.82
359.82	1085.77
360.19	1094.43
360.56	1094.67
360.94	1099.12
361.31	1117.61
361.68	1115.97
362.05	1097.95
362.42	1095.14
362.79	1083.90
363.16	1072.43
363.54	1077.58
363.91	1084.14
364.28	1078.52
364.65	1089.99
365.02	1097.01
365.39	1086.01
365.76	1088.12
366.14	1092.33
366.51	1080.63
366.88	1078.52
367.25	1089.05
367.62	1085.77
367.99	1092.80
368.36	1103.33
368.73	1090.22
369.10	1082.73
369.48	1078.99
369.85	1067.52
370.22	1047.16
370.59	1060.26
370.96	1062.60
371.33	1064.71
371.70	1073.84
372.07	1091.63
372.44	1092.80
372.81	1100.75
373.18	1110.35
373.55	1105.44
373.93	1099.35
374.30	1094.67
374.67	1092.33
375.04	1083.43
375.41	1088.82
375.78	1097.01
376.15	1098.18
376.52	1093.97
376.89	1101.46
377.26	1099.58
377.63	1089.99
378.00	1094.67
378.37	1095.37
378.74	1086.94
379.11	1089.29
379.48	1092.09
379.85	1075.48
380.22	1071.03
380.59	1085.54
380.96	1087.18
381.33	1092.33
381.70	1114.56
382.07	1120.88
382.44	1103.33
382.81	1106.61
383.18	1106.37
383.55	1113.39
383.92	1116.90
384.29	1124.39
384.66	1113.86
385.03	1097.48
385.40	1087.18
385.77	1082.50
386.14	1088.82
386.51	1096.78
386.88	1116.20
387.25	1118.07
387.62	1119.24
387.99	1119.24
388.36	1122.75
388.73	1120.65
389.10	1117.61
389.46	1115.73
389.83	1113.39
390.20	1106.61
390.57	1105.20
390.94	1108.48
391.31	1113.63
391.68	1108.01
392.05	1110.82
392.42	1109.65
392.79	1099.58
393.16	1095.14
393.53	1107.31
393.89	1115.27
394.26	1122.29
394.63	1131.65
395.00	1135.63
395.37	1127.90
395.74	1126.27
396.11	1125.80
396.48	1127.20
396.84	1133.52
397.21	1140.07
397.58	1142.88
397.95	1146.16
398.32	1144.52
398.69	1143.82
399.06	1140.07
399.42	1136.80
399.79	1131.65
400.16	1134.22
400.53	1131.41
400.90	1134.22
401.27	1137.50
401.64	1145.22
402.00	1146.86
402.37	1164.65
402.74	1181.50
403.11	1185.72
403.48	1186.18
403.84	1197.89
404.21	1189.23
404.58	1183.61
404.95	1191.80
405.32	1192.74
405.68	1213.10
406.05	1217.31
406.42	1230.42
406.79	1250.31
407.16	1271.85
407.52	1277.93
407.89	1302.74
408.26	1332.70
408.63	1349.55
408.99	1381.15
409.36	1406.19
409.73	1439.43
410.10	1458.15
410.47	1480.86
410.83	1506.84
411.20	1534.92
411.57	1573.31
411.94	1611.46
412.30	1656.87
412.67	1695.02
413.04	1742.76
413.40	1788.17
413.77	1842.94
414.14	1899.11
414.51	1969.79
414.87	2037.20
415.24	2118.65
415.61	2196.59
415.97	2277.81
416.34	2366.05
416.71	2462.71
417.08	2548.61
417.44	2651.36
417.81	2781.96
418.18	2893.84
418.54	3004.78
418.91	3128.59
419.28	3273.24
419.64	3398.69
420.01	3575.64
420.38	3749.30
420.74	3946.85
421.11	4157.49
421.48	4364.16
421.84	4553.75
422.21	4766.97
422.58	5004.77
422.94	5239.99
423.31	5483.88
423.68	5744.38
424.04	6035.31
424.41	6315.23
424.77	6604.76
425.14	6938.05
425.51	7258.94
425.87	7616.34
426.24	7975.84
426.61	8348.22
426.97	8819.14
427.34	9265.24
427.70	9698.95
428.07	10166.12
428.44	10676.82
428.80	11141.18
429.17	11701.04
429.53	12251.77
429.90	12870.84
430.27	13404.48
430.63	13928.29
431.00	14523.73
431.36	15253.74
431.73	15835.83
432.09	16492.82
432.46	17180.23
432.83	17807.03
433.19	18295.03
433.56	18959.04
433.92	19616.26
434.29	20263.66
434.65	20883.43
435.02	21515.37
435.38	22127.89
435.75	22662.00
436.11	23283.88
436.48	23792.48
436.84	24380.19
437.21	24814.13
437.57	25287.15
437.94	25621.84
438.30	26004.76
438.67	26171.17
439.03	26360.05
439.40	26435.88
439.76	26325.41
440.13	26201.83
440.49	26148.93
440.86	25872.05
441.22	25656.48
441.59	25366.49
