pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,date
1.558,10H 31M 27.4789999999994S,24.4677,5.706518,3.5545,0.3802,1.3544974,24.425613,24.4674,38.4366,26.1043,4.7253,205.664,0,37887.479,NA,Aug,18,2021,NA,NA,NA,NA,NA,NA,NA,18 Aug 2021
1.506,10H 31M 28.4789999999994S,24.4676,5.706388,3.5572,0.4267,1.3545483,24.410251,24.4673,38.4357,26.1037,4.7345,206.065,0,37888.479,NA,Aug,18,2021,NA,NA,NA,NA,NA,NA,NA,18 Aug 2021
1.484,10H 31M 29.4789999999994S,24.4513,5.704536,3.5602,0.2945,1.3544974,24.409552,24.451,38.4356,26.1086,4.7355,206.109,0,37889.479,NA,Aug,18,2021,NA,NA,NA,NA,NA,NA,NA,18 Aug 2021
1.486,10H 31M 30.4789999999994S,24.4584,5.705386,3.5577,0.2528,1.3549044,24.401872,24.4581,38.436,26.1067,4.7298,205.86,0,37890.479,NA,Aug,18,2021,NA,NA,NA,NA,NA,NA,NA,18 Aug 2021
1.651,10H 31M 31.4789999999994S,24.46,5.705638,3.5591,0.1994,1.3544465,24.417233,24.4596,38.4365,26.1066,4.7384,206.231,0,37891.479,NA,Aug,18,2021,NA,NA,NA,NA,NA,NA,NA,18 Aug 2021
1.485,10H 31M 32.4789999999994S,24.4551,5.705045,3.5609,0.0415,1.3543448,24.426311,24.4548,38.4362,26.1079,4.7291,205.83,0,37892.479,NA,Aug,18,2021,NA,NA,NA,NA,NA,NA,NA,18 Aug 2021
1.437,10H 31M 33.4789999999994S,24.4528,5.704718,3.5527,0.3244,1.3547009,24.424216,24.4525,38.4358,26.1082,4.7187,205.376,0,37893.479,NA,Aug,18,2021,NA,NA,NA,NA,NA,NA,NA,18 Aug 2021
1.728,10H 31M 34.4789999999994S,24.4349,5.702676,3.5557,0.1828,1.3548027,24.410949,24.4345,38.4355,26.1135,4.7406,206.325,0,37894.479,NA,Aug,18,2021,NA,NA,NA,NA,NA,NA,NA,18 Aug 2021
1.647,10H 31M 35.4789999999994S,24.4407,5.703404,3.5637,0.1181,1.3545992,24.423518,24.4403,38.4361,26.1122,4.7492,206.7,0,37895.479,NA,Aug,18,2021,NA,NA,NA,NA,NA,NA,NA,18 Aug 2021
1.358,10H 31M 36.4789999999994S,24.4377,5.70305,3.564,-0.0111,1.3541413,24.420724,24.4374,38.436,26.113,4.7382,206.222,0,37896.479,NA,Aug,18,2021,NA,NA,NA,NA,NA,NA,NA,18 Aug 2021
