date	lon	lat	pressure	Wt	Wpt	sal	gamma	oxygen.1	oxygen.2	fluo.r	c
20210514161700	7.90661666666667	43.3753333333333	46	13.4864	13.4797	38.4264	28.9496	4.2585	184.833	1.2543	0.2388
20210514161700	7.90661666666667	43.3753333333333	47	13.4797	13.4729	38.4276	28.952	4.2534	184.613	1.0824	0.2081
20210514161700	7.90661666666667	43.3753333333333	48	13.4669	13.4599	38.4273	28.9545	4.2534	184.613	1.1342	0.1694
20210514161700	7.90661666666667	43.3753333333333	49	13.4638	13.4567	38.4289	28.9565	4.2389	183.983	0.6986	0.1462
20210514161700	7.90661666666667	43.3753333333333	50	13.4639	13.4567	38.4301	28.9574	4.2306	183.624	0.6776	0.1335
20210514161700	7.90661666666667	43.3753333333333	51	13.4647	13.4573	38.4313	28.9582	4.2214	183.224	0.6191	0.1266
20210514161700	7.90661666666667	43.3753333333333	52	13.4613	13.4538	38.4328	28.9601	4.2075	182.62	0.6069	0.1189
20210514161700	7.90661666666667	43.3753333333333	53	13.456	13.4483	38.4352	28.9631	4.1993	182.261	0.5399	0.11
20210514161700	7.90661666666667	43.3753333333333	54	13.4497	13.4419	38.437	28.9659	4.182	181.51	0.4825	0.1017
20210514161700	7.90661666666667	43.3753333333333	55	13.4455	13.4375	38.4386	28.968	4.1761	181.252	0.4069	0.0882
20210514161700	7.90661666666667	43.3753333333333	56	13.4466	13.4385	38.4415	28.97	4.1595	180.532	0.3695	0.084
20210514161700	7.90661666666667	43.3753333333333	57	13.4567	13.4485	38.4471	28.9723	4.1322	179.347	0.3438	0.0784
20210514161700	7.90661666666667	43.3753333333333	58	13.4628	13.4544	38.4512	28.9742	4.1203	178.833	0.3096	0.0758
20210514161700	7.90661666666667	43.3753333333333	59	13.465	13.4565	38.4532	28.9753	4.1046	178.15	0.2862	0.0721
20210514161700	7.90661666666667	43.3753333333333	60	13.468	13.4593	38.4548	28.976	4.0939	177.686	0.2913	0.0702
20210514161700	7.90661666666667	43.3753333333333	61	13.469	13.4602	38.4557	28.9765	4.0912	177.57	0.2952	0.0692
20210514161700	7.90661666666667	43.3753333333333	62	13.4693	13.4604	38.4567	28.9772	4.0845	177.276	0.2945	0.0688
20210514161700	7.90661666666667	43.3753333333333	63	13.4764	13.4672	38.4609	28.979	4.0588	176.163	0.2786	0.0682
20210514161700	7.90661666666667	43.3753333333333	64	13.4826	13.4734	38.4652	28.9811	4.0308	174.946	0.2769	0.0673
20210514161700	7.90661666666667	43.3753333333333	65	13.4869	13.4775	38.4689	28.9831	4.0254	174.71	0.2688	0.0667
20210514161700	7.90661666666667	43.3753333333333	66	13.4977	13.4882	38.4727	28.9837	3.9969	173.471	0.2296	0.0655
20210514161700	7.90661666666667	43.3753333333333	67	13.5043	13.4946	38.4798	28.9879	3.9505	171.458	0.2458	0.0651
20210514161700	7.90661666666667	43.3753333333333	68	13.5383	13.5284	38.4924	28.9905	3.9204	170.152	0.2414	0.0636
20210514161700	7.90661666666667	43.3753333333333	69	13.5504	13.5404	38.4967	28.9912	3.8964	169.112	0.2318	0.0629
20210514161700	7.90661666666667	43.3753333333333	70	13.5535	13.5433	38.4989	28.9923	3.8864	168.677	0.2201	0.0617
20210514161700	7.90661666666667	43.3753333333333	71	13.5556	13.5453	38.5005	28.9931	3.871	168.006	0.2275	0.0614
